@relation 'Dry_Beans_Dataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R2-5,7,9,11-14,16-17'

@attribute Perimeter numeric
@attribute MajorAxisLength numeric
@attribute MinorAxisLength numeric
@attribute AspectRation numeric
@attribute ConvexArea numeric
@attribute Extent numeric
@attribute roundness numeric
@attribute Compactness numeric
@attribute ShapeFactor1 numeric
@attribute ShapeFactor2 numeric
@attribute ShapeFactor4 numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
0.058574,0.044262,0.152142,0.122612,0.033107,0.671024,0.934823,0.786733,0.593432,0.833049,0.98062,SEKER
0.077557,0.030479,0.178337,0.051577,0.034991,0.735504,0.793138,0.903549,0.547447,0.967315,0.974979,SEKER
0.068035,0.052633,0.15819,0.131521,0.037126,0.716671,0.914511,0.773514,0.582016,0.800942,0.987196,SEKER
0.082942,0.048548,0.177691,0.091623,0.041389,0.731365,0.826871,0.829912,0.552408,0.854744,0.893675,SEKER
0.065313,0.032862,0.200679,0.025565,0.040123,0.700538,0.988408,0.951583,0.510741,1,0.989116,SEKER
0.075441,0.052155,0.174711,0.104024,0.040878,0.708871,0.906532,0.816636,0.552843,0.834819,0.990455,SEKER
0.099475,0.049435,0.1822,0.086735,0.042403,0.666131,0.725375,0.844461,0.540441,0.863598,0.986862,SEKER
0.07188,0.05294,0.178345,0.100127,0.041896,0.692766,0.952948,0.821696,0.547511,0.836595,0.973331,SEKER
0.075957,0.053908,0.179588,0.100314,0.042708,0.695596,0.927264,0.82221,0.544873,0.834423,0.985022,SEKER
0.073391,0.06056,0.172897,0.125204,0.043021,0.734586,0.959273,0.783179,0.556102,0.788141,0.9871,SEKER
0.079437,0.053955,0.183387,0.094644,0.043681,0.693163,0.911335,0.831958,0.538177,0.841734,0.993311,SEKER
0.077926,0.048419,0.194898,0.066027,0.044415,0.743254,0.935113,0.878727,0.520254,0.893257,0.979002,SEKER
0.07932,0.055915,0.184955,0.096474,0.04427,0.661771,0.923955,0.82655,0.537239,0.832436,0.958333,SEKER
0.080712,0.059222,0.181031,0.109545,0.044555,0.783082,0.915049,0.80604,0.543447,0.808462,0.964247,SEKER
0.07967,0.051266,0.19154,0.076852,0.044481,0.726965,0.924038,0.86132,0.524969,0.871658,0.992629,SEKER
0.076783,0.052903,0.189672,0.083045,0.04467,0.671628,0.950534,0.850624,0.528199,0.858894,0.987648,SEKER
0.081963,0.057702,0.183481,0.102527,0.044889,0.720144,0.906986,0.818308,0.538645,0.821554,0.980031,SEKER
0.078764,0.05667,0.184675,0.098508,0.044827,0.668005,0.934666,0.825453,0.536223,0.829628,0.989807,SEKER
0.078,0.051956,0.192556,0.076833,0.044971,0.691609,0.945595,0.861374,0.523333,0.869799,0.992927,SEKER
0.075498,0.059772,0.182568,0.10836,0.044996,0.704332,0.971711,0.809819,0.539602,0.809887,0.991737,SEKER
0.07645,0.06531,0.176188,0.130298,0.045017,0.687989,0.965622,0.774281,0.551256,0.770031,0.971129,SEKER
0.078131,0.054361,0.194127,0.079611,0.045788,0.687193,0.960299,0.855536,0.521607,0.85873,0.976144,SEKER
0.102262,0.060703,0.186373,0.104541,0.047461,0.648643,0.765367,0.813547,0.534939,0.810305,0.957835,SEKER
0.090355,0.083057,0.156944,0.202069,0.046835,0.664271,0.862607,0.672315,0.584255,0.659702,0.987673,SEKER
0.090848,0.095724,0.144211,0.254688,0.046686,0.597082,0.860784,0.598925,0.612058,0.587822,0.908113,SEKER
0.083515,0.047626,0.206511,0.048175,0.046756,0.700816,0.922582,0.910288,0.501984,0.920604,0.985072,SEKER
0.090077,0.057825,0.191775,0.090347,0.047032,0.713445,0.868726,0.838775,0.524692,0.8367,0.990479,SEKER
0.080164,0.06515,0.182425,0.120121,0.046732,0.708554,0.955688,0.790928,0.540132,0.782548,0.985496,SEKER
0.086413,0.067281,0.179988,0.128527,0.047362,0.715259,0.903045,0.777629,0.544417,0.767738,0.980541,SEKER
0.080346,0.072729,0.172955,0.151685,0.046863,0.703045,0.957919,0.743925,0.555586,0.73101,0.995826,SEKER
0.085542,0.054271,0.199761,0.071322,0.047342,0.698146,0.91357,0.868616,0.513322,0.869072,0.963764,SEKER
0.09434,0.070726,0.17585,0.142601,0.047779,0.706167,0.841048,0.757346,0.550686,0.745093,0.995158,SEKER
0.090144,0.0744,0.17154,0.157676,0.04763,0.739613,0.875969,0.734289,0.558634,0.720494,0.982904,SEKER
0.079405,0.058926,0.194123,0.089206,0.047408,0.7152,0.972581,0.840123,0.521298,0.834841,0.982981,SEKER
0.078896,0.054184,0.201762,0.068305,0.047663,0.697877,0.980607,0.875666,0.508991,0.874773,0.99079,SEKER
0.079145,0.052743,0.204257,0.061824,0.047713,0.704123,0.979605,0.886756,0.505187,0.887401,0.99018,SEKER
0.088865,0.051454,0.207026,0.055332,0.048261,0.754074,0.895758,0.896068,0.502217,0.898331,0.962533,SEKER
0.088277,0.05282,0.205213,0.06065,0.048195,0.664457,0.901916,0.887191,0.504738,0.887528,0.967802,SEKER
0.088661,0.085326,0.161153,0.199654,0.048088,0.720967,0.89934,0.673931,0.577888,0.656186,0.962461,SEKER
0.082395,0.073625,0.175987,0.148674,0.047919,0.692229,0.953685,0.74739,0.551108,0.731423,0.981401,SEKER
0.087575,0.058614,0.196804,0.084633,0.048277,0.716529,0.909531,0.847707,0.517038,0.841407,0.983616,SEKER
0.080339,0.058202,0.19779,0.082342,0.04789,0.722112,0.972944,0.851111,0.515751,0.845081,0.977958,SEKER
0.098982,0.095155,0.150194,0.241915,0.048632,0.725566,0.817997,0.617267,0.598896,0.600452,0.94395,SEKER
0.095059,0.073607,0.177241,0.146596,0.048987,0.682934,0.851587,0.750379,0.549049,0.733569,0.980103,SEKER
0.084778,0.070339,0.181578,0.132594,0.048269,0.660564,0.937546,0.771758,0.541542,0.756285,0.985376,SEKER
0.08911,0.06188,0.194536,0.0948,0.048797,0.660314,0.903827,0.830409,0.521023,0.819908,0.97474,SEKER
0.091385,0.06822,0.185921,0.121257,0.049061,0.667758,0.887546,0.789725,0.534005,0.774253,0.993634,SEKER
0.088221,0.070516,0.183283,0.130284,0.048982,0.640494,0.9143,0.774834,0.539024,0.758074,0.97893,SEKER
0.096367,0.067775,0.1868,0.118947,0.049576,0.707314,0.848121,0.793494,0.532449,0.778061,0.996269,SEKER
0.081687,0.06732,0.188089,0.115996,0.048768,0.671468,0.972768,0.797253,0.530929,0.781896,0.983943,SEKER
0.089052,0.067001,0.18883,0.114186,0.049172,0.709248,0.909638,0.799659,0.53002,0.784425,0.977709,SEKER
0.087416,0.070413,0.183604,0.129558,0.04897,0.726965,0.923717,0.777301,0.537563,0.760086,0.998807,SEKER
0.083402,0.062278,0.195568,0.094112,0.049217,0.755497,0.959368,0.832349,0.518852,0.820343,0.986491,SEKER
0.085479,0.060819,0.198642,0.086563,0.049184,0.73832,0.943936,0.844169,0.514386,0.832973,0.978648,SEKER
0.088226,0.068095,0.188411,0.117148,0.049419,0.730752,0.921304,0.79567,0.530261,0.778871,0.987115,SEKER
0.090666,0.067857,0.189074,0.115627,0.049617,0.734943,0.901756,0.797938,0.529261,0.781094,0.985525,SEKER
0.103139,0.068539,0.188529,0.117909,0.049972,0.655509,0.802468,0.793952,0.530427,0.776555,0.979417,SEKER
0.080974,0.063986,0.194819,0.0988,0.049156,0.736579,0.986675,0.824756,0.52003,0.810358,0.986573,SEKER
0.088334,0.065259,0.193957,0.102757,0.049844,0.688386,0.925961,0.81851,0.52132,0.80255,0.98824,SEKER
0.088396,0.074922,0.181173,0.143094,0.049811,0.6746,0.927314,0.756272,0.541989,0.734746,0.990189,SEKER
0.085084,0.068156,0.191367,0.112764,0.050124,0.738769,0.958731,0.802444,0.525567,0.783654,0.985682,SEKER
0.08689,0.067827,0.191727,0.111522,0.049992,0.654917,0.943319,0.804795,0.524726,0.786167,0.99141,SEKER
0.089273,0.067032,0.192939,0.108013,0.05012,0.767877,0.922971,0.810099,0.522956,0.791986,0.987828,SEKER
0.095286,0.074698,0.18272,0.140138,0.050772,0.687543,0.873428,0.76012,0.539822,0.737966,0.981718,SEKER
0.090943,0.078227,0.178656,0.15429,0.050363,0.728922,0.912376,0.739717,0.546194,0.71581,0.990108,SEKER
0.085475,0.073521,0.184819,0.134291,0.050157,0.697205,0.959311,0.769965,0.535657,0.747625,0.996861,SEKER
0.095885,0.062215,0.202821,0.083425,0.050837,0.814617,0.873667,0.84669,0.509637,0.831261,0.940664,SEKER
0.090559,0.093055,0.161824,0.215704,0.050368,0.720527,0.918166,0.650863,0.577861,0.625909,0.938507,SEKER
0.087847,0.074583,0.185471,0.135531,0.050747,0.683126,0.945691,0.767785,0.534796,0.743644,0.99242,SEKER
0.088809,0.072533,0.188451,0.126506,0.050858,0.721035,0.937854,0.781364,0.530068,0.758036,0.989843,SEKER
0.092636,0.057298,0.210177,0.06295,0.050854,0.785517,0.90602,0.884936,0.496148,0.873441,0.991929,SEKER
0.090333,0.055226,0.214049,0.053431,0.051044,0.687849,0.926294,0.90028,0.491147,0.891059,0.974856,SEKER
0.093027,0.070722,0.192388,0.116621,0.051266,0.755401,0.906272,0.796012,0.524191,0.77283,0.980143,SEKER
0.085628,0.065598,0.199288,0.095573,0.051027,0.699036,0.969499,0.830234,0.512851,0.810377,0.99023,SEKER
0.086465,0.074936,0.186823,0.134156,0.051147,0.709849,0.963375,0.769381,0.532923,0.743968,0.985288,SEKER
0.089063,0.071218,0.19221,0.117937,0.051229,0.789712,0.941013,0.793637,0.52469,0.769939,0.975471,SEKER
0.088313,0.065383,0.200185,0.093811,0.05113,0.613945,0.94762,0.832671,0.511736,0.812724,0.984101,SEKER
0.091306,0.068434,0.196899,0.105021,0.051406,0.754215,0.923868,0.813399,0.517662,0.790977,0.966738,SEKER
0.098898,0.062682,0.205061,0.081181,0.051699,0.796449,0.861779,0.852594,0.5048,0.834499,0.971569,SEKER
0.095417,0.084863,0.175403,0.174056,0.051781,0.6152,0.890788,0.708965,0.55332,0.680597,0.9558,SEKER
0.089534,0.066198,0.199914,0.095903,0.051588,0.726737,0.941307,0.830059,0.511643,0.808748,0.995402,SEKER
0.09242,0.078281,0.183742,0.146184,0.051699,0.740978,0.91773,0.751537,0.537833,0.723913,0.988171,SEKER
0.100556,0.06392,0.204183,0.08499,0.052322,0.716225,0.853211,0.847567,0.505308,0.827541,0.990019,SEKER
0.09031,0.074789,0.189374,0.129855,0.05181,0.686337,0.937886,0.775519,0.529064,0.748655,0.979355,SEKER
0.098218,0.06809,0.198673,0.101668,0.052425,0.712153,0.872754,0.819947,0.514102,0.796614,0.983799,SEKER
0.098242,0.046991,0.230205,0.015861,0.052157,0.675517,0.873296,0.969532,0.467415,0.970417,0.986116,SEKER
0.111954,0.077528,0.18659,0.14004,0.052932,0.693152,0.767375,0.758946,0.534376,0.730767,0.96229,SEKER
0.104106,0.074111,0.191493,0.125139,0.052672,0.679955,0.828996,0.782425,0.525875,0.755129,0.974633,SEKER
0.099295,0.071906,0.194649,0.115676,0.05266,0.648815,0.868106,0.797547,0.520558,0.771126,0.980948,SEKER
0.096611,0.074506,0.190643,0.127287,0.052313,0.760014,0.890117,0.780734,0.52615,0.753011,0.998165,SEKER
0.087598,0.072364,0.194016,0.117598,0.051963,0.754214,0.966387,0.794823,0.521374,0.768085,0.985023,SEKER
0.089664,0.073568,0.192457,0.122512,0.052173,0.67233,0.948881,0.787195,0.523852,0.759794,0.985093,SEKER
0.094709,0.063664,0.207179,0.080186,0.052515,0.716071,0.90814,0.854672,0.501311,0.833528,0.977513,SEKER
0.089533,0.07356,0.193569,0.120793,0.052091,0.78474,0.952286,0.788801,0.522789,0.760961,0.969723,SEKER
0.09806,0.069225,0.199205,0.103246,0.052581,0.718437,0.881228,0.817538,0.513195,0.792074,0.985514,SEKER
0.092234,0.093576,0.167074,0.207491,0.052144,0.747577,0.930424,0.665175,0.566043,0.634188,0.99017,SEKER
0.087276,0.068051,0.200903,0.0983,0.05212,0.698349,0.973021,0.826036,0.510202,0.801183,0.993356,SEKER
0.095287,0.060755,0.212311,0.067044,0.052693,0.704759,0.905512,0.876323,0.493957,0.857536,0.969666,SEKER
0.088368,0.080693,0.184124,0.150732,0.052223,0.688501,0.964222,0.744339,0.537533,0.71362,0.98118,SEKER
0.084654,0.070103,0.199075,0.105266,0.052326,0.690507,1,0.814959,0.512972,0.788061,0.994863,SEKER
0.088362,0.069954,0.199794,0.10389,0.052482,0.748832,0.968318,0.816586,0.512226,0.789607,0.986653,SEKER
0.106724,0.091335,0.171965,0.194021,0.053006,0.662396,0.818502,0.681955,0.558635,0.649518,0.96766,SEKER
0.08873,0.069612,0.200923,0.101511,0.05254,0.75567,0.965829,0.819351,0.511162,0.792458,0.971579,SEKER
0.095795,0.08772,0.176415,0.178558,0.052915,0.702471,0.907266,0.704807,0.550034,0.671923,0.988729,SEKER
0.093146,0.049089,0.232212,0.017472,0.05329,0.685056,0.931816,0.966231,0.46477,0.961368,0.982575,SEKER
0.092653,0.085309,0.180394,0.166716,0.052878,0.747386,0.936673,0.721688,0.543305,0.68827,0.98974,SEKER
0.091896,0.060964,0.21461,0.064297,0.053101,0.651793,0.943276,0.881522,0.490242,0.860949,0.976548,SEKER
0.123068,0.092186,0.172328,0.195255,0.054304,0.657302,0.704329,0.68097,0.557498,0.647198,0.978335,SEKER
