@relation Dry_Beans_Dataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute Area numeric
@attribute Perimeter numeric
@attribute MajorAxisLength numeric
@attribute MinorAxisLength numeric
@attribute AspectRation numeric
@attribute Eccentricity numeric
@attribute ConvexArea numeric
@attribute EquivDiameter numeric
@attribute Extent numeric
@attribute Solidity numeric
@attribute roundness numeric
@attribute Compactness numeric
@attribute ShapeFactor1 numeric
@attribute ShapeFactor2 numeric
@attribute ShapeFactor3 numeric
@attribute ShapeFactor4 numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
0.034053,0.058574,0.044262,0.152142,0.122612,0.477797,0.033107,0.070804,0.671024,0.922824,0.934823,0.786733,0.593432,0.833049,0.750996,0.98062,SEKER
0.0355,0.077557,0.030479,0.178337,0.051577,0.278472,0.034991,0.073577,0.735504,0.871514,0.793138,0.903549,0.547447,0.967315,0.884987,0.974979,SEKER
0.038259,0.068035,0.052633,0.15819,0.131521,0.496448,0.037126,0.078816,0.716671,0.932141,0.914511,0.773514,0.582016,0.800942,0.7362,0.987196,SEKER
0.04094,0.082942,0.048548,0.177691,0.091623,0.403864,0.041389,0.083854,0.731365,0.761614,0.826871,0.829912,0.552408,0.854744,0.799846,0.893675,SEKER
0.041504,0.065313,0.032862,0.200679,0.025565,0.16568,0.040123,0.084906,0.700538,0.949832,0.988408,0.951583,0.510741,1,0.94177,0.989116,SEKER
0.042097,0.075441,0.052155,0.174711,0.104024,0.435324,0.040878,0.086012,0.708871,0.931491,0.906532,0.816636,0.552843,0.834819,0.784742,0.990455,SEKER
0.042943,0.099475,0.049435,0.1822,0.086735,0.390668,0.042403,0.087582,0.666131,0.859526,0.725375,0.844461,0.540441,0.863598,0.816485,0.986862,SEKER
0.043122,0.07188,0.05294,0.178345,0.100127,0.425733,0.041896,0.087914,0.692766,0.929597,0.952948,0.821696,0.547511,0.836595,0.79049,0.973331,SEKER
0.043831,0.075957,0.053908,0.179588,0.100314,0.426197,0.042708,0.089226,0.695596,0.917253,0.927264,0.82221,0.544873,0.834423,0.791075,0.985022,SEKER
0.044467,0.073391,0.06056,0.172897,0.125204,0.483328,0.043021,0.090401,0.734586,0.948725,0.959273,0.783179,0.556102,0.788141,0.747011,0.9871,SEKER
0.044821,0.079437,0.053955,0.183387,0.094644,0.411787,0.043681,0.091054,0.693163,0.916714,0.911335,0.831958,0.538177,0.841734,0.802181,0.993311,SEKER
0.045564,0.077926,0.048419,0.194898,0.066027,0.32878,0.044415,0.09242,0.743254,0.915899,0.935113,0.878727,0.520254,0.893257,0.856029,0.979002,SEKER
0.045633,0.07932,0.055915,0.184955,0.096474,0.4165,0.04427,0.092545,0.661771,0.937243,0.923955,0.82655,0.537239,0.832436,0.796014,0.958333,SEKER
0.04585,0.080712,0.059222,0.181031,0.109545,0.448485,0.044555,0.092945,0.783082,0.929958,0.915049,0.80604,0.543447,0.808462,0.772741,0.964247,SEKER
0.04585,0.07967,0.051266,0.19154,0.076852,0.362431,0.044481,0.092945,0.726965,0.937459,0.924038,0.86132,0.524969,0.871658,0.835878,0.992629,SEKER
0.045936,0.076783,0.052903,0.189672,0.083045,0.380378,0.04467,0.093101,0.671628,0.926718,0.950534,0.850624,0.528199,0.858894,0.823561,0.987648,SEKER
0.046038,0.081963,0.057702,0.183481,0.102527,0.431671,0.044889,0.093289,0.720144,0.914783,0.906986,0.818308,0.538645,0.821554,0.78664,0.980031,SEKER
0.046043,0.078764,0.05667,0.184675,0.098508,0.421671,0.044827,0.093297,0.668005,0.92143,0.934666,0.825453,0.536223,0.829628,0.794765,0.989807,SEKER
0.046337,0.078,0.051956,0.192556,0.076833,0.362372,0.044971,0.093837,0.691609,0.935862,0.945595,0.861374,0.523333,0.869799,0.835941,0.992927,SEKER
0.046606,0.075498,0.059772,0.182568,0.10836,0.445701,0.044996,0.094329,0.704332,0.959802,0.971711,0.809819,0.539602,0.809887,0.777016,0.991737,SEKER
0.046773,0.07645,0.06531,0.176188,0.130298,0.493945,0.045017,0.094633,0.687989,0.974082,0.965622,0.774281,0.551256,0.770031,0.737056,0.971129,SEKER
0.047439,0.078131,0.054361,0.194127,0.079611,0.370534,0.045788,0.095849,0.687193,0.961722,0.960299,0.855536,0.521607,0.85873,0.829211,0.976144,SEKER
0.047623,0.102262,0.060703,0.186373,0.104541,0.436577,0.047461,0.096184,0.648643,0.813629,0.765367,0.813547,0.534939,0.810305,0.781238,0.957835,SEKER
0.047896,0.090355,0.083057,0.156944,0.202069,0.615534,0.046835,0.096682,0.664271,0.90177,0.862607,0.672315,0.584255,0.659702,0.625391,0.987673,SEKER
0.048058,0.090848,0.095724,0.144211,0.254688,0.681222,0.046686,0.096977,0.597082,0.932229,0.860784,0.598925,0.612058,0.587822,0.547761,0.908113,SEKER
0.048088,0.083515,0.047626,0.206511,0.048175,0.265557,0.046756,0.097031,0.700816,0.928163,0.922582,0.910288,0.501984,0.920604,0.892894,0.985072,SEKER
0.048178,0.090077,0.057825,0.191775,0.090347,0.400467,0.047032,0.097194,0.713445,0.909458,0.868726,0.838775,0.524692,0.8367,0.809972,0.990479,SEKER
0.04837,0.080164,0.06515,0.182425,0.120121,0.472397,0.046732,0.097543,0.708554,0.957946,0.955688,0.790928,0.540132,0.782548,0.755707,0.985496,SEKER
0.048455,0.086413,0.067281,0.179988,0.128527,0.490293,0.047362,0.097699,0.715259,0.903678,0.903045,0.777629,0.544417,0.767738,0.740798,0.980541,SEKER
0.048639,0.080346,0.072729,0.172955,0.151685,0.535204,0.046863,0.098032,0.703045,0.97088,0.957919,0.743925,0.555586,0.73101,0.70335,0.995826,SEKER
0.048681,0.085542,0.054271,0.199761,0.071322,0.345625,0.047342,0.09811,0.698146,0.927555,0.91357,0.868616,0.513322,0.869072,0.844309,0.963764,SEKER
0.04869,0.09434,0.070726,0.17585,0.142601,0.518298,0.047779,0.098125,0.706167,0.885305,0.841048,0.757346,0.550686,0.745093,0.718204,0.995158,SEKER
0.04875,0.090144,0.0744,0.17154,0.157676,0.545895,0.04763,0.098233,0.739613,0.905659,0.875969,0.734289,0.558634,0.720494,0.692732,0.982904,SEKER
0.049083,0.079405,0.058926,0.194123,0.089206,0.397398,0.047408,0.098837,0.7152,0.959756,0.972581,0.840123,0.521298,0.834841,0.811515,0.982981,SEKER
0.049326,0.078896,0.054184,0.201762,0.068305,0.336121,0.047663,0.099278,0.697877,0.957913,0.980607,0.875666,0.508991,0.874773,0.852477,0.99079,SEKER
0.049412,0.079145,0.052743,0.204257,0.061824,0.314839,0.047713,0.099433,0.704123,0.961243,0.979605,0.886756,0.505187,0.887401,0.865367,0.99018,SEKER
0.04942,0.088865,0.051454,0.207026,0.055332,0.292216,0.048261,0.099448,0.754074,0.908075,0.895758,0.896068,0.502217,0.898331,0.876232,0.962533,SEKER
0.04951,0.088277,0.05282,0.205213,0.06065,0.310851,0.048195,0.099611,0.664457,0.923146,0.901916,0.887191,0.504738,0.887528,0.865874,0.967802,SEKER
0.049557,0.088661,0.085326,0.161153,0.199654,0.612126,0.048088,0.099696,0.720967,0.938191,0.89934,0.673931,0.577888,0.656186,0.627126,0.962461,SEKER
0.049608,0.082395,0.073625,0.175987,0.148674,0.529697,0.047919,0.099788,0.692229,0.959771,0.953685,0.74739,0.551108,0.731423,0.707177,0.981401,SEKER
0.049634,0.087575,0.058614,0.196804,0.084633,0.384842,0.048277,0.099835,0.716529,0.92692,0.909531,0.847707,0.517038,0.841407,0.82021,0.983616,SEKER
0.049689,0.080339,0.058202,0.19779,0.082342,0.378384,0.04789,0.099935,0.722112,0.970418,0.972944,0.851111,0.515751,0.845081,0.824121,0.977958,SEKER
0.049728,0.098982,0.095155,0.150194,0.241915,0.666639,0.048632,0.100004,0.725566,0.901179,0.817997,0.617267,0.598896,0.600452,0.566948,0.94395,SEKER
0.049911,0.095059,0.073607,0.177241,0.146596,0.525841,0.048987,0.100336,0.682934,0.884122,0.851587,0.750379,0.549049,0.733569,0.710483,0.980103,SEKER
0.049933,0.084778,0.070339,0.181578,0.132594,0.498627,0.048269,0.100375,0.660564,0.956378,0.937546,0.771758,0.541542,0.756285,0.734239,0.985376,SEKER
0.050159,0.08911,0.06188,0.194536,0.0948,0.412191,0.048797,0.100784,0.660314,0.926254,0.903827,0.830409,0.521023,0.819908,0.800413,0.97474,SEKER
0.050355,0.091385,0.06822,0.185921,0.121257,0.474869,0.049061,0.101138,0.667758,0.919214,0.887546,0.789725,0.534005,0.774253,0.754356,0.993634,SEKER
0.050377,0.088221,0.070516,0.183283,0.130284,0.493918,0.048982,0.101176,0.640494,0.928896,0.9143,0.774834,0.539024,0.758074,0.737675,0.97893,SEKER
0.050441,0.096367,0.067775,0.1868,0.118947,0.469822,0.049576,0.101292,0.707314,0.877237,0.848121,0.793494,0.532449,0.778061,0.758593,0.996269,SEKER
0.050518,0.081687,0.06732,0.188089,0.115996,0.463262,0.048768,0.101431,0.671468,0.963327,0.972768,0.797253,0.530929,0.781896,0.762824,0.983943,SEKER
0.050547,0.089052,0.067001,0.18883,0.114186,0.459178,0.049172,0.101484,0.709248,0.926656,0.909638,0.799659,0.53002,0.784425,0.765537,0.977709,SEKER
0.050564,0.087416,0.070413,0.183604,0.129558,0.492425,0.04897,0.101515,0.726965,0.948017,0.923717,0.777301,0.537563,0.760086,0.740431,0.998807,SEKER
0.050637,0.083402,0.062278,0.195568,0.094112,0.410403,0.049217,0.101646,0.755497,0.930769,0.959368,0.832349,0.518852,0.820343,0.802627,0.986491,SEKER
0.050825,0.085479,0.060819,0.198642,0.086563,0.390195,0.049184,0.101984,0.73832,0.951871,0.943936,0.844169,0.514386,0.832973,0.81615,0.978648,SEKER
0.050889,0.088226,0.068095,0.188411,0.117148,0.465838,0.049419,0.1021,0.730752,0.935036,0.921304,0.79567,0.530261,0.778871,0.761042,0.987115,SEKER
0.050962,0.090666,0.067857,0.189074,0.115627,0.462435,0.049617,0.10223,0.734943,0.922675,0.901756,0.797938,0.529261,0.781094,0.763597,0.985525,SEKER
