@relation 'Dry_Beans_Dataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R2,8,10-13,15-17'

@attribute Perimeter numeric
@attribute EquivDiameter numeric
@attribute Solidity numeric
@attribute roundness numeric
@attribute Compactness numeric
@attribute ShapeFactor1 numeric
@attribute ShapeFactor3 numeric
@attribute ShapeFactor4 numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
0.058574,0.070804,0.922824,0.934823,0.786733,0.593432,0.750996,0.98062,SEKER
0.077557,0.073577,0.871514,0.793138,0.903549,0.547447,0.884987,0.974979,SEKER
0.068035,0.078816,0.932141,0.914511,0.773514,0.582016,0.7362,0.987196,SEKER
0.082942,0.083854,0.761614,0.826871,0.829912,0.552408,0.799846,0.893675,SEKER
0.065313,0.084906,0.949832,0.988408,0.951583,0.510741,0.94177,0.989116,SEKER
0.075441,0.086012,0.931491,0.906532,0.816636,0.552843,0.784742,0.990455,SEKER
0.099475,0.087582,0.859526,0.725375,0.844461,0.540441,0.816485,0.986862,SEKER
0.07188,0.087914,0.929597,0.952948,0.821696,0.547511,0.79049,0.973331,SEKER
0.075957,0.089226,0.917253,0.927264,0.82221,0.544873,0.791075,0.985022,SEKER
0.073391,0.090401,0.948725,0.959273,0.783179,0.556102,0.747011,0.9871,SEKER
0.079437,0.091054,0.916714,0.911335,0.831958,0.538177,0.802181,0.993311,SEKER
0.077926,0.09242,0.915899,0.935113,0.878727,0.520254,0.856029,0.979002,SEKER
0.07932,0.092545,0.937243,0.923955,0.82655,0.537239,0.796014,0.958333,SEKER
0.080712,0.092945,0.929958,0.915049,0.80604,0.543447,0.772741,0.964247,SEKER
0.07967,0.092945,0.937459,0.924038,0.86132,0.524969,0.835878,0.992629,SEKER
0.076783,0.093101,0.926718,0.950534,0.850624,0.528199,0.823561,0.987648,SEKER
0.081963,0.093289,0.914783,0.906986,0.818308,0.538645,0.78664,0.980031,SEKER
0.078764,0.093297,0.92143,0.934666,0.825453,0.536223,0.794765,0.989807,SEKER
0.078,0.093837,0.935862,0.945595,0.861374,0.523333,0.835941,0.992927,SEKER
0.075498,0.094329,0.959802,0.971711,0.809819,0.539602,0.777016,0.991737,SEKER
0.07645,0.094633,0.974082,0.965622,0.774281,0.551256,0.737056,0.971129,SEKER
0.078131,0.095849,0.961722,0.960299,0.855536,0.521607,0.829211,0.976144,SEKER
0.102262,0.096184,0.813629,0.765367,0.813547,0.534939,0.781238,0.957835,SEKER
0.090355,0.096682,0.90177,0.862607,0.672315,0.584255,0.625391,0.987673,SEKER
0.090848,0.096977,0.932229,0.860784,0.598925,0.612058,0.547761,0.908113,SEKER
0.083515,0.097031,0.928163,0.922582,0.910288,0.501984,0.892894,0.985072,SEKER
0.090077,0.097194,0.909458,0.868726,0.838775,0.524692,0.809972,0.990479,SEKER
0.080164,0.097543,0.957946,0.955688,0.790928,0.540132,0.755707,0.985496,SEKER
0.086413,0.097699,0.903678,0.903045,0.777629,0.544417,0.740798,0.980541,SEKER
0.080346,0.098032,0.97088,0.957919,0.743925,0.555586,0.70335,0.995826,SEKER
0.085542,0.09811,0.927555,0.91357,0.868616,0.513322,0.844309,0.963764,SEKER
0.09434,0.098125,0.885305,0.841048,0.757346,0.550686,0.718204,0.995158,SEKER
0.090144,0.098233,0.905659,0.875969,0.734289,0.558634,0.692732,0.982904,SEKER
0.079405,0.098837,0.959756,0.972581,0.840123,0.521298,0.811515,0.982981,SEKER
0.078896,0.099278,0.957913,0.980607,0.875666,0.508991,0.852477,0.99079,SEKER
0.079145,0.099433,0.961243,0.979605,0.886756,0.505187,0.865367,0.99018,SEKER
0.088865,0.099448,0.908075,0.895758,0.896068,0.502217,0.876232,0.962533,SEKER
0.088277,0.099611,0.923146,0.901916,0.887191,0.504738,0.865874,0.967802,SEKER
0.088661,0.099696,0.938191,0.89934,0.673931,0.577888,0.627126,0.962461,SEKER
0.082395,0.099788,0.959771,0.953685,0.74739,0.551108,0.707177,0.981401,SEKER
0.087575,0.099835,0.92692,0.909531,0.847707,0.517038,0.82021,0.983616,SEKER
0.080339,0.099935,0.970418,0.972944,0.851111,0.515751,0.824121,0.977958,SEKER
0.098982,0.100004,0.901179,0.817997,0.617267,0.598896,0.566948,0.94395,SEKER
0.095059,0.100336,0.884122,0.851587,0.750379,0.549049,0.710483,0.980103,SEKER
