@relation 'Dry_Beans_Dataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R2,6,10-11,13-14,16-17'

@attribute Perimeter numeric
@attribute Eccentricity numeric
@attribute Solidity numeric
@attribute roundness numeric
@attribute ShapeFactor1 numeric
@attribute ShapeFactor2 numeric
@attribute ShapeFactor4 numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
0.058574,0.477797,0.922824,0.934823,0.593432,0.833049,0.98062,SEKER
0.077557,0.278472,0.871514,0.793138,0.547447,0.967315,0.974979,SEKER
0.068035,0.496448,0.932141,0.914511,0.582016,0.800942,0.987196,SEKER
0.082942,0.403864,0.761614,0.826871,0.552408,0.854744,0.893675,SEKER
0.065313,0.16568,0.949832,0.988408,0.510741,1,0.989116,SEKER
0.075441,0.435324,0.931491,0.906532,0.552843,0.834819,0.990455,SEKER
0.099475,0.390668,0.859526,0.725375,0.540441,0.863598,0.986862,SEKER
0.07188,0.425733,0.929597,0.952948,0.547511,0.836595,0.973331,SEKER
0.075957,0.426197,0.917253,0.927264,0.544873,0.834423,0.985022,SEKER
0.073391,0.483328,0.948725,0.959273,0.556102,0.788141,0.9871,SEKER
0.079437,0.411787,0.916714,0.911335,0.538177,0.841734,0.993311,SEKER
0.077926,0.32878,0.915899,0.935113,0.520254,0.893257,0.979002,SEKER
0.07932,0.4165,0.937243,0.923955,0.537239,0.832436,0.958333,SEKER
0.080712,0.448485,0.929958,0.915049,0.543447,0.808462,0.964247,SEKER
0.07967,0.362431,0.937459,0.924038,0.524969,0.871658,0.992629,SEKER
0.076783,0.380378,0.926718,0.950534,0.528199,0.858894,0.987648,SEKER
0.081963,0.431671,0.914783,0.906986,0.538645,0.821554,0.980031,SEKER
0.078764,0.421671,0.92143,0.934666,0.536223,0.829628,0.989807,SEKER
0.078,0.362372,0.935862,0.945595,0.523333,0.869799,0.992927,SEKER
0.075498,0.445701,0.959802,0.971711,0.539602,0.809887,0.991737,SEKER
0.07645,0.493945,0.974082,0.965622,0.551256,0.770031,0.971129,SEKER
0.078131,0.370534,0.961722,0.960299,0.521607,0.85873,0.976144,SEKER
0.102262,0.436577,0.813629,0.765367,0.534939,0.810305,0.957835,SEKER
0.090355,0.615534,0.90177,0.862607,0.584255,0.659702,0.987673,SEKER
0.090848,0.681222,0.932229,0.860784,0.612058,0.587822,0.908113,SEKER
0.083515,0.265557,0.928163,0.922582,0.501984,0.920604,0.985072,SEKER
0.090077,0.400467,0.909458,0.868726,0.524692,0.8367,0.990479,SEKER
0.080164,0.472397,0.957946,0.955688,0.540132,0.782548,0.985496,SEKER
0.086413,0.490293,0.903678,0.903045,0.544417,0.767738,0.980541,SEKER
0.080346,0.535204,0.97088,0.957919,0.555586,0.73101,0.995826,SEKER
0.085542,0.345625,0.927555,0.91357,0.513322,0.869072,0.963764,SEKER
0.09434,0.518298,0.885305,0.841048,0.550686,0.745093,0.995158,SEKER
0.090144,0.545895,0.905659,0.875969,0.558634,0.720494,0.982904,SEKER
0.079405,0.397398,0.959756,0.972581,0.521298,0.834841,0.982981,SEKER
0.078896,0.336121,0.957913,0.980607,0.508991,0.874773,0.99079,SEKER
0.079145,0.314839,0.961243,0.979605,0.505187,0.887401,0.99018,SEKER
0.088865,0.292216,0.908075,0.895758,0.502217,0.898331,0.962533,SEKER
0.088277,0.310851,0.923146,0.901916,0.504738,0.887528,0.967802,SEKER
0.088661,0.612126,0.938191,0.89934,0.577888,0.656186,0.962461,SEKER
0.082395,0.529697,0.959771,0.953685,0.551108,0.731423,0.981401,SEKER
