@relation 'Dry_Beans_Dataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R2,7,1,8,3,14,13,4,17'

@attribute Perimeter numeric
@attribute ConvexArea numeric
@attribute Area numeric
@attribute EquivDiameter numeric
@attribute MajorAxisLength numeric
@attribute ShapeFactor2 numeric
@attribute ShapeFactor1 numeric
@attribute MinorAxisLength numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
0.058574,0.033107,0.034053,0.070804,0.044262,0.833049,0.593432,0.152142,SEKER
0.077557,0.034991,0.0355,0.073577,0.030479,0.967315,0.547447,0.178337,SEKER
0.068035,0.037126,0.038259,0.078816,0.052633,0.800942,0.582016,0.15819,SEKER
0.082942,0.041389,0.04094,0.083854,0.048548,0.854744,0.552408,0.177691,SEKER
0.065313,0.040123,0.041504,0.084906,0.032862,1,0.510741,0.200679,SEKER
0.075441,0.040878,0.042097,0.086012,0.052155,0.834819,0.552843,0.174711,SEKER
0.099475,0.042403,0.042943,0.087582,0.049435,0.863598,0.540441,0.1822,SEKER
0.07188,0.041896,0.043122,0.087914,0.05294,0.836595,0.547511,0.178345,SEKER
0.075957,0.042708,0.043831,0.089226,0.053908,0.834423,0.544873,0.179588,SEKER
0.073391,0.043021,0.044467,0.090401,0.06056,0.788141,0.556102,0.172897,SEKER
0.079437,0.043681,0.044821,0.091054,0.053955,0.841734,0.538177,0.183387,SEKER
0.077926,0.044415,0.045564,0.09242,0.048419,0.893257,0.520254,0.194898,SEKER
0.07932,0.04427,0.045633,0.092545,0.055915,0.832436,0.537239,0.184955,SEKER
0.080712,0.044555,0.04585,0.092945,0.059222,0.808462,0.543447,0.181031,SEKER
0.07967,0.044481,0.04585,0.092945,0.051266,0.871658,0.524969,0.19154,SEKER
0.076783,0.04467,0.045936,0.093101,0.052903,0.858894,0.528199,0.189672,SEKER
0.081963,0.044889,0.046038,0.093289,0.057702,0.821554,0.538645,0.183481,SEKER
0.078764,0.044827,0.046043,0.093297,0.05667,0.829628,0.536223,0.184675,SEKER
0.078,0.044971,0.046337,0.093837,0.051956,0.869799,0.523333,0.192556,SEKER
0.075498,0.044996,0.046606,0.094329,0.059772,0.809887,0.539602,0.182568,SEKER
0.07645,0.045017,0.046773,0.094633,0.06531,0.770031,0.551256,0.176188,SEKER
