@relation 'Dry_Beans_Dataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R1-2,9-14,16-17'

@attribute Area numeric
@attribute Perimeter numeric
@attribute Extent numeric
@attribute Solidity numeric
@attribute roundness numeric
@attribute Compactness numeric
@attribute ShapeFactor1 numeric
@attribute ShapeFactor2 numeric
@attribute ShapeFactor4 numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
0.034053,0.058574,0.671024,0.922824,0.934823,0.786733,0.593432,0.833049,0.98062,SEKER
0.0355,0.077557,0.735504,0.871514,0.793138,0.903549,0.547447,0.967315,0.974979,SEKER
0.038259,0.068035,0.716671,0.932141,0.914511,0.773514,0.582016,0.800942,0.987196,SEKER
0.04094,0.082942,0.731365,0.761614,0.826871,0.829912,0.552408,0.854744,0.893675,SEKER
0.041504,0.065313,0.700538,0.949832,0.988408,0.951583,0.510741,1,0.989116,SEKER
0.042097,0.075441,0.708871,0.931491,0.906532,0.816636,0.552843,0.834819,0.990455,SEKER
0.042943,0.099475,0.666131,0.859526,0.725375,0.844461,0.540441,0.863598,0.986862,SEKER
0.043122,0.07188,0.692766,0.929597,0.952948,0.821696,0.547511,0.836595,0.973331,SEKER
0.043831,0.075957,0.695596,0.917253,0.927264,0.82221,0.544873,0.834423,0.985022,SEKER
0.044467,0.073391,0.734586,0.948725,0.959273,0.783179,0.556102,0.788141,0.9871,SEKER
0.044821,0.079437,0.693163,0.916714,0.911335,0.831958,0.538177,0.841734,0.993311,SEKER
0.045564,0.077926,0.743254,0.915899,0.935113,0.878727,0.520254,0.893257,0.979002,SEKER
0.045633,0.07932,0.661771,0.937243,0.923955,0.82655,0.537239,0.832436,0.958333,SEKER
0.04585,0.080712,0.783082,0.929958,0.915049,0.80604,0.543447,0.808462,0.964247,SEKER
0.04585,0.07967,0.726965,0.937459,0.924038,0.86132,0.524969,0.871658,0.992629,SEKER
0.045936,0.076783,0.671628,0.926718,0.950534,0.850624,0.528199,0.858894,0.987648,SEKER
0.046038,0.081963,0.720144,0.914783,0.906986,0.818308,0.538645,0.821554,0.980031,SEKER
0.046043,0.078764,0.668005,0.92143,0.934666,0.825453,0.536223,0.829628,0.989807,SEKER
0.046337,0.078,0.691609,0.935862,0.945595,0.861374,0.523333,0.869799,0.992927,SEKER
0.046606,0.075498,0.704332,0.959802,0.971711,0.809819,0.539602,0.809887,0.991737,SEKER
0.046773,0.07645,0.687989,0.974082,0.965622,0.774281,0.551256,0.770031,0.971129,SEKER
0.047439,0.078131,0.687193,0.961722,0.960299,0.855536,0.521607,0.85873,0.976144,SEKER
0.047623,0.102262,0.648643,0.813629,0.765367,0.813547,0.534939,0.810305,0.957835,SEKER
0.047896,0.090355,0.664271,0.90177,0.862607,0.672315,0.584255,0.659702,0.987673,SEKER
0.048058,0.090848,0.597082,0.932229,0.860784,0.598925,0.612058,0.587822,0.908113,SEKER
0.048088,0.083515,0.700816,0.928163,0.922582,0.910288,0.501984,0.920604,0.985072,SEKER
0.048178,0.090077,0.713445,0.909458,0.868726,0.838775,0.524692,0.8367,0.990479,SEKER
0.04837,0.080164,0.708554,0.957946,0.955688,0.790928,0.540132,0.782548,0.985496,SEKER
0.048455,0.086413,0.715259,0.903678,0.903045,0.777629,0.544417,0.767738,0.980541,SEKER
0.048639,0.080346,0.703045,0.97088,0.957919,0.743925,0.555586,0.73101,0.995826,SEKER
0.048681,0.085542,0.698146,0.927555,0.91357,0.868616,0.513322,0.869072,0.963764,SEKER
0.04869,0.09434,0.706167,0.885305,0.841048,0.757346,0.550686,0.745093,0.995158,SEKER
0.04875,0.090144,0.739613,0.905659,0.875969,0.734289,0.558634,0.720494,0.982904,SEKER
0.049083,0.079405,0.7152,0.959756,0.972581,0.840123,0.521298,0.834841,0.982981,SEKER
0.049326,0.078896,0.697877,0.957913,0.980607,0.875666,0.508991,0.874773,0.99079,SEKER
