@relation 'Dry_Beans_Dataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R1-2,8,14,17'

@attribute Area numeric
@attribute Perimeter numeric
@attribute EquivDiameter numeric
@attribute ShapeFactor2 numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
0.034053,0.058574,0.070804,0.833049,SEKER
0.0355,0.077557,0.073577,0.967315,SEKER
0.038259,0.068035,0.078816,0.800942,SEKER
0.04094,0.082942,0.083854,0.854744,SEKER
0.041504,0.065313,0.084906,1,SEKER
0.042097,0.075441,0.086012,0.834819,SEKER
0.042943,0.099475,0.087582,0.863598,SEKER
0.043122,0.07188,0.087914,0.836595,SEKER
0.043831,0.075957,0.089226,0.834423,SEKER
0.044467,0.073391,0.090401,0.788141,SEKER
0.044821,0.079437,0.091054,0.841734,SEKER
0.045564,0.077926,0.09242,0.893257,SEKER
0.045633,0.07932,0.092545,0.832436,SEKER
0.04585,0.080712,0.092945,0.808462,SEKER
0.04585,0.07967,0.092945,0.871658,SEKER
0.045936,0.076783,0.093101,0.858894,SEKER
0.046038,0.081963,0.093289,0.821554,SEKER
0.046043,0.078764,0.093297,0.829628,SEKER
0.046337,0.078,0.093837,0.869799,SEKER
0.046606,0.075498,0.094329,0.809887,SEKER
0.046773,0.07645,0.094633,0.770031,SEKER
0.047439,0.078131,0.095849,0.85873,SEKER
0.047623,0.102262,0.096184,0.810305,SEKER
0.047896,0.090355,0.096682,0.659702,SEKER
0.048058,0.090848,0.096977,0.587822,SEKER
0.048088,0.083515,0.097031,0.920604,SEKER
0.048178,0.090077,0.097194,0.8367,SEKER
0.04837,0.080164,0.097543,0.782548,SEKER
0.048455,0.086413,0.097699,0.767738,SEKER
0.048639,0.080346,0.098032,0.73101,SEKER
0.048681,0.085542,0.09811,0.869072,SEKER
0.04869,0.09434,0.098125,0.745093,SEKER
0.04875,0.090144,0.098233,0.720494,SEKER
0.049083,0.079405,0.098837,0.834841,SEKER
0.049326,0.078896,0.099278,0.874773,SEKER
0.049412,0.079145,0.099433,0.887401,SEKER
0.04942,0.088865,0.099448,0.898331,SEKER
0.04951,0.088277,0.099611,0.887528,SEKER
0.049557,0.088661,0.099696,0.656186,SEKER
0.049608,0.082395,0.099788,0.731423,SEKER
0.049634,0.087575,0.099835,0.841407,SEKER
0.049689,0.080339,0.099935,0.845081,SEKER
0.049728,0.098982,0.100004,0.600452,SEKER
0.049911,0.095059,0.100336,0.733569,SEKER
0.049933,0.084778,0.100375,0.756285,SEKER
0.050159,0.08911,0.100784,0.819908,SEKER
0.050355,0.091385,0.101138,0.774253,SEKER
0.050377,0.088221,0.101176,0.758074,SEKER
0.050441,0.096367,0.101292,0.778061,SEKER
0.050518,0.081687,0.101431,0.781896,SEKER
0.050547,0.089052,0.101484,0.784425,SEKER
0.050564,0.087416,0.101515,0.760086,SEKER
0.050637,0.083402,0.101646,0.820343,SEKER
0.050825,0.085479,0.101984,0.832973,SEKER
0.050889,0.088226,0.1021,0.778871,SEKER
0.050962,0.090666,0.10223,0.781094,SEKER
0.051017,0.103139,0.10233,0.776555,SEKER
0.051051,0.080974,0.102392,0.810358,SEKER
0.051295,0.088334,0.10283,0.80255,SEKER
0.051431,0.088396,0.103075,0.734746,SEKER
0.051641,0.085084,0.103451,0.783654,SEKER
0.051658,0.08689,0.103482,0.786167,SEKER
0.051658,0.089273,0.103482,0.791986,SEKER
0.051687,0.095286,0.103535,0.737966,SEKER
0.051914,0.090943,0.103941,0.71581,SEKER
0.051927,0.085475,0.103964,0.747625,SEKER
0.052072,0.095885,0.104225,0.831261,SEKER
0.052102,0.090559,0.104278,0.625909,SEKER
0.052426,0.087847,0.10486,0.743644,SEKER
0.052456,0.088809,0.104913,0.758036,SEKER
0.05249,0.092636,0.104974,0.873441,SEKER
0.052559,0.090333,0.105096,0.891059,SEKER
0.052751,0.093027,0.10544,0.77283,SEKER
0.052755,0.085628,0.105448,0.810377,SEKER
0.05284,0.086465,0.105601,0.743968,SEKER
0.052845,0.089063,0.105608,0.769939,SEKER
0.052857,0.088313,0.105631,0.812724,SEKER
0.052986,0.091306,0.10586,0.790977,SEKER
0.053015,0.098898,0.105913,0.834499,SEKER
0.053071,0.095417,0.106013,0.680597,SEKER
0.053161,0.089534,0.106173,0.808748,SEKER
0.053225,0.09242,0.106287,0.723913,SEKER
0.053374,0.100556,0.106554,0.827541,SEKER
0.053395,0.09031,0.106592,0.748655,SEKER
0.053434,0.098218,0.10666,0.796614,SEKER
0.053489,0.098242,0.10676,0.970417,SEKER
0.053506,0.111954,0.10679,0.730767,SEKER
0.053664,0.104106,0.107072,0.755129,SEKER
0.053741,0.099295,0.107209,0.771126,SEKER
0.053758,0.096611,0.107239,0.753011,SEKER
0.053771,0.087598,0.107262,0.768085,SEKER
0.053797,0.089664,0.107308,0.759794,SEKER
0.053933,0.094709,0.107551,0.833528,SEKER
0.053963,0.089533,0.107604,0.760961,SEKER
0.05398,0.09806,0.107635,0.792074,SEKER
0.054049,0.092234,0.107756,0.634188,SEKER
0.054049,0.087276,0.107756,0.801183,SEKER
0.054096,0.095287,0.10784,0.857536,SEKER
0.0541,0.088368,0.107847,0.71362,SEKER
0.054326,0.084654,0.10825,0.788061,SEKER
0.054395,0.088362,0.108371,0.789607,SEKER
0.054433,0.106724,0.10844,0.649518,SEKER
0.054446,0.08873,0.108463,0.792458,SEKER
0.054544,0.095795,0.108637,0.671923,SEKER
0.054723,0.093146,0.108956,0.961368,SEKER
0.054775,0.092653,0.109047,0.68827,SEKER
0.054787,0.091896,0.109069,0.860949,SEKER
0.054894,0.123068,0.109259,0.647198,SEKER
0.055065,0.099855,0.109562,0.710195,SEKER
0.055078,0.098495,0.109585,0.761185,SEKER
0.055103,0.102488,0.10963,0.776503,SEKER
0.055125,0.088345,0.109668,0.769809,SEKER
0.055138,0.105794,0.109691,0.820338,SEKER
0.055159,0.091992,0.109729,0.676123,SEKER
0.055185,0.093639,0.109774,0.758117,SEKER
0.055347,0.092219,0.110062,0.790542,SEKER
0.055419,0.095825,0.11019,0.8084,SEKER
0.055513,0.089049,0.110357,0.836602,SEKER
0.055522,0.091946,0.110372,0.774921,SEKER
0.055539,0.096447,0.110402,0.724925,SEKER
0.055547,0.091651,0.110417,0.710555,SEKER
0.055556,0.09729,0.110432,0.831865,SEKER
0.055565,0.090791,0.110447,0.764597,SEKER
0.05562,0.089921,0.110546,0.774736,SEKER
0.055624,0.095627,0.110553,0.751041,SEKER
0.055676,0.089467,0.110644,0.843552,SEKER
0.055714,0.092597,0.110712,0.772476,SEKER
0.055842,0.090911,0.110938,0.730266,SEKER
0.055996,0.090598,0.11121,0.849874,SEKER
0.056013,0.091432,0.11124,0.736415,SEKER
0.056017,0.094262,0.111248,0.784495,SEKER
0.056051,0.088164,0.111308,0.925793,SEKER
0.056107,0.098945,0.111406,0.731977,SEKER
0.056175,0.096946,0.111527,0.77391,SEKER
0.056205,0.091069,0.11158,0.811821,SEKER
0.056209,0.091818,0.111588,0.785122,SEKER
0.056308,0.113262,0.111761,0.912173,SEKER
0.056363,0.099606,0.111859,0.798716,SEKER
0.056376,0.092201,0.111882,0.873786,SEKER
0.05641,0.09882,0.111942,0.77164,SEKER
0.056444,0.094681,0.112002,0.774755,SEKER
0.056777,0.095593,0.11259,0.693106,SEKER
0.056837,0.100614,0.112695,0.698598,SEKER
0.056858,0.089682,0.112733,0.820694,SEKER
0.057106,0.096595,0.113169,0.855666,SEKER
0.05717,0.099002,0.113282,0.711308,SEKER
0.057234,0.0901,0.113395,0.832029,SEKER
0.057294,0.093311,0.1135,0.802455,SEKER
0.057324,0.1001,0.113553,0.758856,SEKER
0.057341,0.099159,0.113583,0.821057,SEKER
0.057379,0.09566,0.11365,0.666604,SEKER
0.057388,0.108569,0.113665,0.769912,SEKER
0.057405,0.09459,0.113695,0.826873,SEKER
0.057413,0.098372,0.11371,0.704891,SEKER
0.057456,0.097376,0.113785,0.738001,SEKER
0.057687,0.096861,0.114191,0.789658,SEKER
0.057755,0.097613,0.114311,0.699963,SEKER
0.057755,0.09847,0.114311,0.664253,SEKER
0.057819,0.113387,0.114423,0.628499,SEKER
0.057819,0.097739,0.114423,0.682631,SEKER
0.057853,0.09698,0.114483,0.814444,SEKER
0.057866,0.101378,0.114506,0.68431,SEKER
0.057956,0.098831,0.114663,0.851116,SEKER
0.057969,0.095169,0.114686,0.805419,SEKER
0.058003,0.092581,0.114746,0.730508,SEKER
0.058101,0.099562,0.114918,0.700749,SEKER
0.058139,0.09676,0.114986,0.757348,SEKER
0.058203,0.104431,0.115098,0.749206,SEKER
0.058212,0.100536,0.115113,0.692578,SEKER
0.058242,0.094076,0.115166,0.843494,SEKER
0.058336,0.09832,0.11533,0.714083,SEKER
0.0584,0.106706,0.115443,0.748032,SEKER
0.05843,0.097597,0.115495,0.728188,SEKER
0.058468,0.102132,0.115562,0.833933,SEKER
0.058541,0.097115,0.11569,0.660345,SEKER
0.058545,0.098146,0.115697,0.792971,SEKER
0.05863,0.102377,0.115847,0.705621,SEKER
0.05863,0.094064,0.115847,0.765563,SEKER
0.05875,0.104289,0.116056,0.78497,SEKER
0.058801,0.093567,0.116146,0.799363,SEKER
0.058869,0.098588,0.116265,0.748417,SEKER
0.058869,0.093385,0.116265,0.762747,SEKER
0.058925,0.104606,0.116363,0.688449,SEKER
0.058934,0.100818,0.116378,0.809289,SEKER
0.059006,0.097015,0.116505,0.694522,SEKER
0.059036,0.109259,0.116557,0.726862,SEKER
0.059066,0.101191,0.116609,0.750013,SEKER
0.05907,0.098565,0.116617,0.801331,SEKER
0.059092,0.103836,0.116654,0.755833,SEKER
0.059164,0.112889,0.116781,0.731819,SEKER
0.059228,0.100484,0.116893,0.719213,SEKER
0.059322,0.100715,0.117057,0.844174,SEKER
0.059356,0.099132,0.117117,0.751967,SEKER
0.059382,0.104458,0.117162,0.714317,SEKER
0.059408,0.096499,0.117206,0.737467,SEKER
0.059425,0.097936,0.117236,0.730488,SEKER
0.059476,0.102782,0.117326,0.637359,SEKER
0.059651,0.106463,0.117631,0.572075,SEKER
0.059668,0.09929,0.117661,0.718835,SEKER
0.059672,0.096136,0.117669,0.709609,SEKER
0.059681,0.105512,0.117684,0.732465,SEKER
0.059736,0.109367,0.11778,0.701498,SEKER
0.059745,0.097535,0.117795,0.684653,SEKER
0.059775,0.111637,0.117848,0.803762,SEKER
0.059783,0.104953,0.117862,0.702397,SEKER
0.0598,0.106643,0.117892,0.699745,SEKER
0.059813,0.111898,0.117915,0.733793,SEKER
0.059869,0.103343,0.118011,0.746629,SEKER
0.059877,0.109385,0.118026,0.678262,SEKER
0.059894,0.108293,0.118056,0.792202,SEKER
0.059954,0.103406,0.11816,0.558023,SEKER
0.059988,0.097285,0.11822,0.729809,SEKER
0.06001,0.101027,0.118257,0.7857,SEKER
0.060014,0.104708,0.118265,0.61192,SEKER
0.060048,0.11148,0.118324,0.688876,SEKER
0.060082,0.102641,0.118384,0.695344,SEKER
0.060133,0.105094,0.118473,0.658762,SEKER
0.060159,0.098311,0.118518,0.728829,SEKER
0.06021,0.09802,0.118607,0.798629,SEKER
0.060219,0.102182,0.118622,0.710615,SEKER
0.060257,0.112838,0.118689,0.907578,SEKER
0.060304,0.100066,0.118771,0.676245,SEKER
0.060304,0.09908,0.118771,0.770742,SEKER
0.060522,0.0995,0.11915,0.69505,SEKER
0.060548,0.101679,0.119194,0.718208,SEKER
0.060552,0.110103,0.119202,0.778115,SEKER
0.060642,0.108614,0.119358,0.668284,SEKER
0.060646,0.103022,0.119365,0.757728,SEKER
0.060659,0.097977,0.119388,0.713609,SEKER
0.060671,0.100135,0.11941,0.69944,SEKER
0.06068,0.099466,0.119425,0.743969,SEKER
0.060697,0.097836,0.119454,0.772172,SEKER
0.06071,0.10446,0.119477,0.682214,SEKER
0.060829,0.106994,0.119685,0.789238,SEKER
0.060851,0.10279,0.119722,0.673172,SEKER
