@relation 'Dry_Beans_Dataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R1-2,7,9,12,16-17'

@attribute Area numeric
@attribute Perimeter numeric
@attribute ConvexArea numeric
@attribute Extent numeric
@attribute Compactness numeric
@attribute ShapeFactor4 numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
0.034053,0.058574,0.033107,0.671024,0.786733,0.98062,SEKER
0.0355,0.077557,0.034991,0.735504,0.903549,0.974979,SEKER
0.038259,0.068035,0.037126,0.716671,0.773514,0.987196,SEKER
0.04094,0.082942,0.041389,0.731365,0.829912,0.893675,SEKER
0.041504,0.065313,0.040123,0.700538,0.951583,0.989116,SEKER
0.042097,0.075441,0.040878,0.708871,0.816636,0.990455,SEKER
0.042943,0.099475,0.042403,0.666131,0.844461,0.986862,SEKER
0.043122,0.07188,0.041896,0.692766,0.821696,0.973331,SEKER
0.043831,0.075957,0.042708,0.695596,0.82221,0.985022,SEKER
0.044467,0.073391,0.043021,0.734586,0.783179,0.9871,SEKER
0.044821,0.079437,0.043681,0.693163,0.831958,0.993311,SEKER
0.045564,0.077926,0.044415,0.743254,0.878727,0.979002,SEKER
0.045633,0.07932,0.04427,0.661771,0.82655,0.958333,SEKER
0.04585,0.080712,0.044555,0.783082,0.80604,0.964247,SEKER
0.04585,0.07967,0.044481,0.726965,0.86132,0.992629,SEKER
0.045936,0.076783,0.04467,0.671628,0.850624,0.987648,SEKER
0.046038,0.081963,0.044889,0.720144,0.818308,0.980031,SEKER
0.046043,0.078764,0.044827,0.668005,0.825453,0.989807,SEKER
0.046337,0.078,0.044971,0.691609,0.861374,0.992927,SEKER
0.046606,0.075498,0.044996,0.704332,0.809819,0.991737,SEKER
0.046773,0.07645,0.045017,0.687989,0.774281,0.971129,SEKER
0.047439,0.078131,0.045788,0.687193,0.855536,0.976144,SEKER
0.047623,0.102262,0.047461,0.648643,0.813547,0.957835,SEKER
0.047896,0.090355,0.046835,0.664271,0.672315,0.987673,SEKER
0.048058,0.090848,0.046686,0.597082,0.598925,0.908113,SEKER
0.048088,0.083515,0.046756,0.700816,0.910288,0.985072,SEKER
0.048178,0.090077,0.047032,0.713445,0.838775,0.990479,SEKER
0.04837,0.080164,0.046732,0.708554,0.790928,0.985496,SEKER
0.048455,0.086413,0.047362,0.715259,0.777629,0.980541,SEKER
0.048639,0.080346,0.046863,0.703045,0.743925,0.995826,SEKER
0.048681,0.085542,0.047342,0.698146,0.868616,0.963764,SEKER
0.04869,0.09434,0.047779,0.706167,0.757346,0.995158,SEKER
0.04875,0.090144,0.04763,0.739613,0.734289,0.982904,SEKER
0.049083,0.079405,0.047408,0.7152,0.840123,0.982981,SEKER
0.049326,0.078896,0.047663,0.697877,0.875666,0.99079,SEKER
0.049412,0.079145,0.047713,0.704123,0.886756,0.99018,SEKER
0.04942,0.088865,0.048261,0.754074,0.896068,0.962533,SEKER
0.04951,0.088277,0.048195,0.664457,0.887191,0.967802,SEKER
0.049557,0.088661,0.048088,0.720967,0.673931,0.962461,SEKER
0.049608,0.082395,0.047919,0.692229,0.74739,0.981401,SEKER
0.049634,0.087575,0.048277,0.716529,0.847707,0.983616,SEKER
0.049689,0.080339,0.04789,0.722112,0.851111,0.977958,SEKER
0.049728,0.098982,0.048632,0.725566,0.617267,0.94395,SEKER
0.049911,0.095059,0.048987,0.682934,0.750379,0.980103,SEKER
0.049933,0.084778,0.048269,0.660564,0.771758,0.985376,SEKER
0.050159,0.08911,0.048797,0.660314,0.830409,0.97474,SEKER
0.050355,0.091385,0.049061,0.667758,0.789725,0.993634,SEKER
0.050377,0.088221,0.048982,0.640494,0.774834,0.97893,SEKER
0.050441,0.096367,0.049576,0.707314,0.793494,0.996269,SEKER
0.050518,0.081687,0.048768,0.671468,0.797253,0.983943,SEKER
0.050547,0.089052,0.049172,0.709248,0.799659,0.977709,SEKER
0.050564,0.087416,0.04897,0.726965,0.777301,0.998807,SEKER
0.050637,0.083402,0.049217,0.755497,0.832349,0.986491,SEKER
0.050825,0.085479,0.049184,0.73832,0.844169,0.978648,SEKER
0.050889,0.088226,0.049419,0.730752,0.79567,0.987115,SEKER
0.050962,0.090666,0.049617,0.734943,0.797938,0.985525,SEKER
0.051017,0.103139,0.049972,0.655509,0.793952,0.979417,SEKER
0.051051,0.080974,0.049156,0.736579,0.824756,0.986573,SEKER
0.051295,0.088334,0.049844,0.688386,0.81851,0.98824,SEKER
0.051431,0.088396,0.049811,0.6746,0.756272,0.990189,SEKER
0.051641,0.085084,0.050124,0.738769,0.802444,0.985682,SEKER
0.051658,0.08689,0.049992,0.654917,0.804795,0.99141,SEKER
0.051658,0.089273,0.05012,0.767877,0.810099,0.987828,SEKER
0.051687,0.095286,0.050772,0.687543,0.76012,0.981718,SEKER
0.051914,0.090943,0.050363,0.728922,0.739717,0.990108,SEKER
0.051927,0.085475,0.050157,0.697205,0.769965,0.996861,SEKER
0.052072,0.095885,0.050837,0.814617,0.84669,0.940664,SEKER
0.052102,0.090559,0.050368,0.720527,0.650863,0.938507,SEKER
0.052426,0.087847,0.050747,0.683126,0.767785,0.99242,SEKER
0.052456,0.088809,0.050858,0.721035,0.781364,0.989843,SEKER
0.05249,0.092636,0.050854,0.785517,0.884936,0.991929,SEKER
0.052559,0.090333,0.051044,0.687849,0.90028,0.974856,SEKER
0.052751,0.093027,0.051266,0.755401,0.796012,0.980143,SEKER
0.052755,0.085628,0.051027,0.699036,0.830234,0.99023,SEKER
0.05284,0.086465,0.051147,0.709849,0.769381,0.985288,SEKER
0.052845,0.089063,0.051229,0.789712,0.793637,0.975471,SEKER
0.052857,0.088313,0.05113,0.613945,0.832671,0.984101,SEKER
0.052986,0.091306,0.051406,0.754215,0.813399,0.966738,SEKER
0.053015,0.098898,0.051699,0.796449,0.852594,0.971569,SEKER
0.053071,0.095417,0.051781,0.6152,0.708965,0.9558,SEKER
0.053161,0.089534,0.051588,0.726737,0.830059,0.995402,SEKER
0.053225,0.09242,0.051699,0.740978,0.751537,0.988171,SEKER
0.053374,0.100556,0.052322,0.716225,0.847567,0.990019,SEKER
0.053395,0.09031,0.05181,0.686337,0.775519,0.979355,SEKER
0.053434,0.098218,0.052425,0.712153,0.819947,0.983799,SEKER
0.053489,0.098242,0.052157,0.675517,0.969532,0.986116,SEKER
0.053506,0.111954,0.052932,0.693152,0.758946,0.96229,SEKER
0.053664,0.104106,0.052672,0.679955,0.782425,0.974633,SEKER
0.053741,0.099295,0.05266,0.648815,0.797547,0.980948,SEKER
0.053758,0.096611,0.052313,0.760014,0.780734,0.998165,SEKER
0.053771,0.087598,0.051963,0.754214,0.794823,0.985023,SEKER
0.053797,0.089664,0.052173,0.67233,0.787195,0.985093,SEKER
0.053933,0.094709,0.052515,0.716071,0.854672,0.977513,SEKER
0.053963,0.089533,0.052091,0.78474,0.788801,0.969723,SEKER
0.05398,0.09806,0.052581,0.718437,0.817538,0.985514,SEKER
0.054049,0.092234,0.052144,0.747577,0.665175,0.99017,SEKER
0.054049,0.087276,0.05212,0.698349,0.826036,0.993356,SEKER
0.054096,0.095287,0.052693,0.704759,0.876323,0.969666,SEKER
0.0541,0.088368,0.052223,0.688501,0.744339,0.98118,SEKER
0.054326,0.084654,0.052326,0.690507,0.814959,0.994863,SEKER
0.054395,0.088362,0.052482,0.748832,0.816586,0.986653,SEKER
0.054433,0.106724,0.053006,0.662396,0.681955,0.96766,SEKER
0.054446,0.08873,0.05254,0.75567,0.819351,0.971579,SEKER
0.054544,0.095795,0.052915,0.702471,0.704807,0.988729,SEKER
0.054723,0.093146,0.05329,0.685056,0.966231,0.982575,SEKER
0.054775,0.092653,0.052878,0.747386,0.721688,0.98974,SEKER
0.054787,0.091896,0.053101,0.651793,0.881522,0.976548,SEKER
0.054894,0.123068,0.054304,0.657302,0.68097,0.978335,SEKER
0.055065,0.099855,0.053653,0.731157,0.743968,0.982459,SEKER
0.055078,0.098495,0.053789,0.774331,0.792467,0.974209,SEKER
0.055103,0.102488,0.053661,0.783757,0.806763,0.988409,SEKER
0.055125,0.088345,0.053163,0.755501,0.800636,0.976303,SEKER
0.055138,0.105794,0.05421,0.697781,0.846734,0.978389,SEKER
0.055159,0.091992,0.053406,0.712277,0.71083,0.987914,SEKER
0.055185,0.093639,0.053624,0.66919,0.789932,0.980042,SEKER
0.055347,0.092219,0.053781,0.728171,0.820419,0.983856,SEKER
0.055419,0.095825,0.053872,0.663203,0.836879,0.989565,SEKER
0.055513,0.089049,0.05362,0.669295,0.862419,0.985208,SEKER
0.055522,0.091946,0.053686,0.700167,0.8066,0.99061,SEKER
0.055539,0.096447,0.054024,0.640688,0.759598,0.990807,SEKER
0.055547,0.091651,0.053711,0.760515,0.74578,0.985037,SEKER
0.055556,0.09729,0.05402,0.750753,0.858347,0.993366,SEKER
0.055565,0.090791,0.05369,0.712469,0.797153,0.967023,SEKER
0.05562,0.089921,0.053711,0.683543,0.806733,0.970363,SEKER
0.055624,0.095627,0.054032,0.691295,0.78465,0.963841,SEKER
0.055676,0.089467,0.053925,0.743032,0.869084,0.992115,SEKER
0.055714,0.092597,0.053855,0.7624,0.804933,0.994162,SEKER
0.055842,0.090911,0.053843,0.727549,0.765629,0.984671,SEKER
0.055996,0.090598,0.054041,0.734013,0.875671,0.996091,SEKER
0.056013,0.091432,0.054069,0.660066,0.772009,0.978684,SEKER
0.056017,0.094262,0.054544,0.672125,0.816961,0.975827,SEKER
0.056051,0.088164,0.054201,0.734225,0.941065,0.995443,SEKER
0.056107,0.098945,0.054469,0.593619,0.768068,0.965026,SEKER
0.056175,0.096946,0.054593,0.664172,0.807686,0.99366,SEKER
0.056205,0.091069,0.05435,0.707629,0.842429,0.996141,SEKER
0.056209,0.091818,0.054416,0.619988,0.818132,0.981688,SEKER
0.056308,0.113262,0.055562,0.693155,0.930416,0.977742,SEKER
0.056363,0.099606,0.054943,0.733177,0.831043,0.99749,SEKER
0.056376,0.092201,0.054556,0.765324,0.897759,0.991534,SEKER
0.05641,0.09882,0.054931,0.667685,0.806306,0.970162,SEKER
0.056444,0.094681,0.05456,0.74285,0.809298,0.98403,SEKER
0.056777,0.095593,0.054832,0.678433,0.732454,0.973134,SEKER
0.056837,0.100614,0.055195,0.797414,0.738019,0.9696,SEKER
0.056858,0.089682,0.054844,0.744818,0.852456,0.993605,SEKER
0.057106,0.096595,0.055417,0.715444,0.884271,0.995033,SEKER
0.05717,0.099002,0.055483,0.735824,0.7514,0.984114,SEKER
0.057234,0.0901,0.05522,0.749883,0.863768,0.985928,SEKER
0.057294,0.093311,0.055496,0.729586,0.837334,0.979376,SEKER
0.057324,0.1001,0.055549,0.671037,0.797188,0.988321,SEKER
0.057341,0.099159,0.055879,0.742914,0.854286,0.985843,SEKER
0.057379,0.09566,0.055479,0.726775,0.707917,0.986911,SEKER
0.057388,0.108569,0.056209,0.707246,0.807704,0.968291,SEKER
0.057405,0.09459,0.055582,0.695721,0.859699,0.98988,SEKER
0.057413,0.098372,0.055599,0.786861,0.74589,0.990682,SEKER
0.057456,0.097376,0.055764,0.749349,0.7779,0.993774,SEKER
0.057687,0.096861,0.055929,0.667185,0.826859,0.99231,SEKER
0.057755,0.097613,0.055908,0.758852,0.742095,0.967968,SEKER
0.057755,0.09847,0.056048,0.663331,0.70666,0.986283,SEKER
0.057819,0.113387,0.056456,0.691876,0.670354,0.992615,SEKER
0.057819,0.097739,0.056044,0.694409,0.725208,0.98006,SEKER
0.057853,0.09698,0.055966,0.673544,0.849926,0.979174,SEKER
0.057866,0.101378,0.056333,0.740951,0.727012,0.977786,SEKER
0.057956,0.098831,0.056127,0.71704,0.882943,0.991866,SEKER
0.057969,0.095169,0.056069,0.673505,0.842113,0.969421,SEKER
0.058003,0.092581,0.056036,0.729079,0.772399,0.989681,SEKER
0.058101,0.099562,0.056271,0.717938,0.743894,0.964867,SEKER
0.058139,0.09676,0.056415,0.6386,0.798254,0.990812,SEKER
0.058203,0.104431,0.056963,0.651656,0.790781,0.985641,SEKER
0.058212,0.100536,0.056386,0.606896,0.736202,0.978827,SEKER
0.058242,0.094076,0.056407,0.751958,0.877104,0.990151,SEKER
0.058336,0.09832,0.056394,0.792673,0.757579,0.981455,SEKER
0.0584,0.106706,0.056963,0.665646,0.790266,0.980139,SEKER
0.05843,0.097597,0.056629,0.782013,0.771458,0.972554,SEKER
0.058468,0.102132,0.056922,0.705568,0.869315,0.9864,SEKER
0.058541,0.097115,0.05651,0.772648,0.705021,0.975472,SEKER
0.058545,0.098146,0.056844,0.692585,0.832532,0.995985,SEKER
0.05863,0.102377,0.057285,0.627706,0.750227,0.982894,SEKER
0.05863,0.094064,0.056498,0.716984,0.807437,0.976945,SEKER
0.05875,0.104289,0.057268,0.716356,0.825806,0.982181,SEKER
0.058801,0.093567,0.056728,0.696942,0.839163,0.993987,SEKER
0.058869,0.098588,0.057017,0.651107,0.792045,0.963218,SEKER
0.058869,0.093385,0.056629,0.704403,0.805529,0.983025,SEKER
0.058925,0.104606,0.057273,0.702645,0.734234,0.993931,SEKER
0.058934,0.100818,0.057268,0.736676,0.848598,0.994745,SEKER
0.059006,0.097015,0.056996,0.689139,0.740463,0.967119,SEKER
0.059036,0.109259,0.057912,0.721319,0.771999,0.971173,SEKER
0.059066,0.101191,0.057186,0.764214,0.794146,0.996081,SEKER
0.05907,0.098565,0.057264,0.707825,0.841782,0.985548,SEKER
0.059092,0.103836,0.057462,0.690974,0.799711,0.988114,SEKER
0.059164,0.112889,0.057936,0.668421,0.777136,0.974759,SEKER
0.059228,0.100484,0.057446,0.72931,0.765201,0.971036,SEKER
0.059322,0.100715,0.057367,0.777346,0.881071,0.970369,SEKER
0.059356,0.099132,0.057582,0.746762,0.796865,0.988893,SEKER
0.059382,0.104458,0.057837,0.766474,0.760917,0.981977,SEKER
0.059408,0.096499,0.057334,0.719703,0.783261,0.989093,SEKER
0.059425,0.097936,0.057297,0.818586,0.776638,0.966218,SEKER
0.059476,0.102782,0.057553,0.733565,0.684284,0.989987,SEKER
0.059651,0.106463,0.058023,0.767558,0.615658,0.976802,SEKER
0.059668,0.09929,0.057903,0.72815,0.766141,0.978264,SEKER
0.059672,0.096136,0.057524,0.75888,0.757201,0.985218,SEKER
0.059681,0.105512,0.058093,0.697659,0.779296,0.972016,SEKER
0.059736,0.109367,0.0582,0.789319,0.749466,0.957742,SEKER
0.059745,0.097535,0.057685,0.746736,0.732879,0.99252,SEKER
0.059775,0.111637,0.058542,0.707308,0.846154,0.995417,SEKER
0.059783,0.104953,0.058035,0.644601,0.750485,0.947022,SEKER
0.0598,0.106643,0.058155,0.65496,0.747936,0.989768,SEKER
0.059813,0.111898,0.058637,0.715567,0.780963,0.947933,SEKER
0.059869,0.103343,0.058299,0.757719,0.793353,0.988089,SEKER
0.059877,0.109385,0.058497,0.737698,0.726907,0.938893,SEKER
0.059894,0.108293,0.05841,0.612677,0.835946,0.958441,SEKER
0.059954,0.103406,0.057742,0.691157,0.601103,0.970629,SEKER
0.059988,0.097285,0.057973,0.753838,0.777665,0.973921,SEKER
0.06001,0.101027,0.058085,0.765548,0.830311,0.99242,SEKER
0.060014,0.104708,0.058513,0.711365,0.659334,0.97721,SEKER
0.060048,0.11148,0.059227,0.596253,0.737952,0.928622,SEKER
0.060082,0.102641,0.058311,0.741561,0.744438,0.980029,SEKER
0.060133,0.105094,0.058542,0.61892,0.708046,0.987069,SEKER
0.060159,0.098311,0.058093,0.734494,0.777232,0.989312,SEKER
0.06021,0.09802,0.058316,0.741398,0.842796,0.993218,SEKER
0.060219,0.102182,0.058513,0.741602,0.759794,0.984817,SEKER
