@relation 'Dry_Beans_Dataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R1-3,7-8,10-11,14,16-17'

@attribute Area numeric
@attribute Perimeter numeric
@attribute MajorAxisLength numeric
@attribute ConvexArea numeric
@attribute EquivDiameter numeric
@attribute Solidity numeric
@attribute roundness numeric
@attribute ShapeFactor2 numeric
@attribute ShapeFactor4 numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
0.034053,0.058574,0.044262,0.033107,0.070804,0.922824,0.934823,0.833049,0.98062,SEKER
0.0355,0.077557,0.030479,0.034991,0.073577,0.871514,0.793138,0.967315,0.974979,SEKER
0.038259,0.068035,0.052633,0.037126,0.078816,0.932141,0.914511,0.800942,0.987196,SEKER
0.04094,0.082942,0.048548,0.041389,0.083854,0.761614,0.826871,0.854744,0.893675,SEKER
0.041504,0.065313,0.032862,0.040123,0.084906,0.949832,0.988408,1,0.989116,SEKER
0.042097,0.075441,0.052155,0.040878,0.086012,0.931491,0.906532,0.834819,0.990455,SEKER
0.042943,0.099475,0.049435,0.042403,0.087582,0.859526,0.725375,0.863598,0.986862,SEKER
0.043122,0.07188,0.05294,0.041896,0.087914,0.929597,0.952948,0.836595,0.973331,SEKER
0.043831,0.075957,0.053908,0.042708,0.089226,0.917253,0.927264,0.834423,0.985022,SEKER
0.044467,0.073391,0.06056,0.043021,0.090401,0.948725,0.959273,0.788141,0.9871,SEKER
0.044821,0.079437,0.053955,0.043681,0.091054,0.916714,0.911335,0.841734,0.993311,SEKER
0.045564,0.077926,0.048419,0.044415,0.09242,0.915899,0.935113,0.893257,0.979002,SEKER
0.045633,0.07932,0.055915,0.04427,0.092545,0.937243,0.923955,0.832436,0.958333,SEKER
0.04585,0.080712,0.059222,0.044555,0.092945,0.929958,0.915049,0.808462,0.964247,SEKER
0.04585,0.07967,0.051266,0.044481,0.092945,0.937459,0.924038,0.871658,0.992629,SEKER
0.045936,0.076783,0.052903,0.04467,0.093101,0.926718,0.950534,0.858894,0.987648,SEKER
0.046038,0.081963,0.057702,0.044889,0.093289,0.914783,0.906986,0.821554,0.980031,SEKER
0.046043,0.078764,0.05667,0.044827,0.093297,0.92143,0.934666,0.829628,0.989807,SEKER
0.046337,0.078,0.051956,0.044971,0.093837,0.935862,0.945595,0.869799,0.992927,SEKER
0.046606,0.075498,0.059772,0.044996,0.094329,0.959802,0.971711,0.809887,0.991737,SEKER
0.046773,0.07645,0.06531,0.045017,0.094633,0.974082,0.965622,0.770031,0.971129,SEKER
0.047439,0.078131,0.054361,0.045788,0.095849,0.961722,0.960299,0.85873,0.976144,SEKER
0.047623,0.102262,0.060703,0.047461,0.096184,0.813629,0.765367,0.810305,0.957835,SEKER
0.047896,0.090355,0.083057,0.046835,0.096682,0.90177,0.862607,0.659702,0.987673,SEKER
0.048058,0.090848,0.095724,0.046686,0.096977,0.932229,0.860784,0.587822,0.908113,SEKER
