@relation 'Dry_Beans_Dataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R2-4,7-11,13-14,16-17'

@attribute Perimeter numeric
@attribute MajorAxisLength numeric
@attribute MinorAxisLength numeric
@attribute ConvexArea numeric
@attribute EquivDiameter numeric
@attribute Extent numeric
@attribute Solidity numeric
@attribute roundness numeric
@attribute ShapeFactor1 numeric
@attribute ShapeFactor2 numeric
@attribute ShapeFactor4 numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
0.058574,0.044262,0.152142,0.033107,0.070804,0.671024,0.922824,0.934823,0.593432,0.833049,0.98062,SEKER
0.077557,0.030479,0.178337,0.034991,0.073577,0.735504,0.871514,0.793138,0.547447,0.967315,0.974979,SEKER
0.068035,0.052633,0.15819,0.037126,0.078816,0.716671,0.932141,0.914511,0.582016,0.800942,0.987196,SEKER
0.082942,0.048548,0.177691,0.041389,0.083854,0.731365,0.761614,0.826871,0.552408,0.854744,0.893675,SEKER
0.065313,0.032862,0.200679,0.040123,0.084906,0.700538,0.949832,0.988408,0.510741,1,0.989116,SEKER
0.075441,0.052155,0.174711,0.040878,0.086012,0.708871,0.931491,0.906532,0.552843,0.834819,0.990455,SEKER
0.099475,0.049435,0.1822,0.042403,0.087582,0.666131,0.859526,0.725375,0.540441,0.863598,0.986862,SEKER
0.07188,0.05294,0.178345,0.041896,0.087914,0.692766,0.929597,0.952948,0.547511,0.836595,0.973331,SEKER
0.075957,0.053908,0.179588,0.042708,0.089226,0.695596,0.917253,0.927264,0.544873,0.834423,0.985022,SEKER
0.073391,0.06056,0.172897,0.043021,0.090401,0.734586,0.948725,0.959273,0.556102,0.788141,0.9871,SEKER
0.079437,0.053955,0.183387,0.043681,0.091054,0.693163,0.916714,0.911335,0.538177,0.841734,0.993311,SEKER
0.077926,0.048419,0.194898,0.044415,0.09242,0.743254,0.915899,0.935113,0.520254,0.893257,0.979002,SEKER
0.07932,0.055915,0.184955,0.04427,0.092545,0.661771,0.937243,0.923955,0.537239,0.832436,0.958333,SEKER
0.080712,0.059222,0.181031,0.044555,0.092945,0.783082,0.929958,0.915049,0.543447,0.808462,0.964247,SEKER
0.07967,0.051266,0.19154,0.044481,0.092945,0.726965,0.937459,0.924038,0.524969,0.871658,0.992629,SEKER
0.076783,0.052903,0.189672,0.04467,0.093101,0.671628,0.926718,0.950534,0.528199,0.858894,0.987648,SEKER
0.081963,0.057702,0.183481,0.044889,0.093289,0.720144,0.914783,0.906986,0.538645,0.821554,0.980031,SEKER
0.078764,0.05667,0.184675,0.044827,0.093297,0.668005,0.92143,0.934666,0.536223,0.829628,0.989807,SEKER
0.078,0.051956,0.192556,0.044971,0.093837,0.691609,0.935862,0.945595,0.523333,0.869799,0.992927,SEKER
0.075498,0.059772,0.182568,0.044996,0.094329,0.704332,0.959802,0.971711,0.539602,0.809887,0.991737,SEKER
0.07645,0.06531,0.176188,0.045017,0.094633,0.687989,0.974082,0.965622,0.551256,0.770031,0.971129,SEKER
0.078131,0.054361,0.194127,0.045788,0.095849,0.687193,0.961722,0.960299,0.521607,0.85873,0.976144,SEKER
0.102262,0.060703,0.186373,0.047461,0.096184,0.648643,0.813629,0.765367,0.534939,0.810305,0.957835,SEKER
0.090355,0.083057,0.156944,0.046835,0.096682,0.664271,0.90177,0.862607,0.584255,0.659702,0.987673,SEKER
0.090848,0.095724,0.144211,0.046686,0.096977,0.597082,0.932229,0.860784,0.612058,0.587822,0.908113,SEKER
0.083515,0.047626,0.206511,0.046756,0.097031,0.700816,0.928163,0.922582,0.501984,0.920604,0.985072,SEKER
0.090077,0.057825,0.191775,0.047032,0.097194,0.713445,0.909458,0.868726,0.524692,0.8367,0.990479,SEKER
0.080164,0.06515,0.182425,0.046732,0.097543,0.708554,0.957946,0.955688,0.540132,0.782548,0.985496,SEKER
