@relation 'Dry_Beans_Dataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R2,4,10-12,16-17'

@attribute Perimeter numeric
@attribute MinorAxisLength numeric
@attribute Solidity numeric
@attribute roundness numeric
@attribute Compactness numeric
@attribute ShapeFactor4 numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
0.058574,0.152142,0.922824,0.934823,0.786733,0.98062,SEKER
0.077557,0.178337,0.871514,0.793138,0.903549,0.974979,SEKER
0.068035,0.15819,0.932141,0.914511,0.773514,0.987196,SEKER
0.082942,0.177691,0.761614,0.826871,0.829912,0.893675,SEKER
0.065313,0.200679,0.949832,0.988408,0.951583,0.989116,SEKER
0.075441,0.174711,0.931491,0.906532,0.816636,0.990455,SEKER
0.099475,0.1822,0.859526,0.725375,0.844461,0.986862,SEKER
0.07188,0.178345,0.929597,0.952948,0.821696,0.973331,SEKER
0.075957,0.179588,0.917253,0.927264,0.82221,0.985022,SEKER
0.073391,0.172897,0.948725,0.959273,0.783179,0.9871,SEKER
0.079437,0.183387,0.916714,0.911335,0.831958,0.993311,SEKER
0.077926,0.194898,0.915899,0.935113,0.878727,0.979002,SEKER
0.07932,0.184955,0.937243,0.923955,0.82655,0.958333,SEKER
0.080712,0.181031,0.929958,0.915049,0.80604,0.964247,SEKER
0.07967,0.19154,0.937459,0.924038,0.86132,0.992629,SEKER
0.076783,0.189672,0.926718,0.950534,0.850624,0.987648,SEKER
0.081963,0.183481,0.914783,0.906986,0.818308,0.980031,SEKER
0.078764,0.184675,0.92143,0.934666,0.825453,0.989807,SEKER
0.078,0.192556,0.935862,0.945595,0.861374,0.992927,SEKER
0.075498,0.182568,0.959802,0.971711,0.809819,0.991737,SEKER
0.07645,0.176188,0.974082,0.965622,0.774281,0.971129,SEKER
0.078131,0.194127,0.961722,0.960299,0.855536,0.976144,SEKER
0.102262,0.186373,0.813629,0.765367,0.813547,0.957835,SEKER
0.090355,0.156944,0.90177,0.862607,0.672315,0.987673,SEKER
0.090848,0.144211,0.932229,0.860784,0.598925,0.908113,SEKER
0.083515,0.206511,0.928163,0.922582,0.910288,0.985072,SEKER
0.090077,0.191775,0.909458,0.868726,0.838775,0.990479,SEKER
0.080164,0.182425,0.957946,0.955688,0.790928,0.985496,SEKER
0.086413,0.179988,0.903678,0.903045,0.777629,0.980541,SEKER
0.080346,0.172955,0.97088,0.957919,0.743925,0.995826,SEKER
0.085542,0.199761,0.927555,0.91357,0.868616,0.963764,SEKER
0.09434,0.17585,0.885305,0.841048,0.757346,0.995158,SEKER
0.090144,0.17154,0.905659,0.875969,0.734289,0.982904,SEKER
0.079405,0.194123,0.959756,0.972581,0.840123,0.982981,SEKER
0.078896,0.201762,0.957913,0.980607,0.875666,0.99079,SEKER
0.079145,0.204257,0.961243,0.979605,0.886756,0.99018,SEKER
0.088865,0.207026,0.908075,0.895758,0.896068,0.962533,SEKER
0.088277,0.205213,0.923146,0.901916,0.887191,0.967802,SEKER
0.088661,0.161153,0.938191,0.89934,0.673931,0.962461,SEKER
0.082395,0.175987,0.959771,0.953685,0.74739,0.981401,SEKER
0.087575,0.196804,0.92692,0.909531,0.847707,0.983616,SEKER
0.080339,0.19779,0.970418,0.972944,0.851111,0.977958,SEKER
0.098982,0.150194,0.901179,0.817997,0.617267,0.94395,SEKER
0.095059,0.177241,0.884122,0.851587,0.750379,0.980103,SEKER
0.084778,0.181578,0.956378,0.937546,0.771758,0.985376,SEKER
0.08911,0.194536,0.926254,0.903827,0.830409,0.97474,SEKER
0.091385,0.185921,0.919214,0.887546,0.789725,0.993634,SEKER
0.088221,0.183283,0.928896,0.9143,0.774834,0.97893,SEKER
0.096367,0.1868,0.877237,0.848121,0.793494,0.996269,SEKER
0.081687,0.188089,0.963327,0.972768,0.797253,0.983943,SEKER
0.089052,0.18883,0.926656,0.909638,0.799659,0.977709,SEKER
0.087416,0.183604,0.948017,0.923717,0.777301,0.998807,SEKER
