@relation 'Dry_Beans_Dataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R2,11-13,16-17'

@attribute Perimeter numeric
@attribute roundness numeric
@attribute Compactness numeric
@attribute ShapeFactor1 numeric
@attribute ShapeFactor4 numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
0.058574,0.934823,0.786733,0.593432,0.98062,SEKER
0.077557,0.793138,0.903549,0.547447,0.974979,SEKER
0.068035,0.914511,0.773514,0.582016,0.987196,SEKER
0.082942,0.826871,0.829912,0.552408,0.893675,SEKER
0.065313,0.988408,0.951583,0.510741,0.989116,SEKER
0.075441,0.906532,0.816636,0.552843,0.990455,SEKER
0.099475,0.725375,0.844461,0.540441,0.986862,SEKER
0.07188,0.952948,0.821696,0.547511,0.973331,SEKER
0.075957,0.927264,0.82221,0.544873,0.985022,SEKER
0.073391,0.959273,0.783179,0.556102,0.9871,SEKER
0.079437,0.911335,0.831958,0.538177,0.993311,SEKER
0.077926,0.935113,0.878727,0.520254,0.979002,SEKER
0.07932,0.923955,0.82655,0.537239,0.958333,SEKER
0.080712,0.915049,0.80604,0.543447,0.964247,SEKER
0.07967,0.924038,0.86132,0.524969,0.992629,SEKER
0.076783,0.950534,0.850624,0.528199,0.987648,SEKER
0.081963,0.906986,0.818308,0.538645,0.980031,SEKER
0.078764,0.934666,0.825453,0.536223,0.989807,SEKER
0.078,0.945595,0.861374,0.523333,0.992927,SEKER
0.075498,0.971711,0.809819,0.539602,0.991737,SEKER
0.07645,0.965622,0.774281,0.551256,0.971129,SEKER
0.078131,0.960299,0.855536,0.521607,0.976144,SEKER
0.102262,0.765367,0.813547,0.534939,0.957835,SEKER
0.090355,0.862607,0.672315,0.584255,0.987673,SEKER
0.090848,0.860784,0.598925,0.612058,0.908113,SEKER
0.083515,0.922582,0.910288,0.501984,0.985072,SEKER
0.090077,0.868726,0.838775,0.524692,0.990479,SEKER
0.080164,0.955688,0.790928,0.540132,0.985496,SEKER
0.086413,0.903045,0.777629,0.544417,0.980541,SEKER
0.080346,0.957919,0.743925,0.555586,0.995826,SEKER
0.085542,0.91357,0.868616,0.513322,0.963764,SEKER
0.09434,0.841048,0.757346,0.550686,0.995158,SEKER
0.090144,0.875969,0.734289,0.558634,0.982904,SEKER
0.079405,0.972581,0.840123,0.521298,0.982981,SEKER
0.078896,0.980607,0.875666,0.508991,0.99079,SEKER
0.079145,0.979605,0.886756,0.505187,0.99018,SEKER
0.088865,0.895758,0.896068,0.502217,0.962533,SEKER
0.088277,0.901916,0.887191,0.504738,0.967802,SEKER
