@relation 'Dry_Beans_Dataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R1,3,9-13,15-17'

@attribute Area numeric
@attribute MajorAxisLength numeric
@attribute Extent numeric
@attribute Solidity numeric
@attribute roundness numeric
@attribute Compactness numeric
@attribute ShapeFactor1 numeric
@attribute ShapeFactor3 numeric
@attribute ShapeFactor4 numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
0.034053,0.044262,0.671024,0.922824,0.934823,0.786733,0.593432,0.750996,0.98062,SEKER
0.0355,0.030479,0.735504,0.871514,0.793138,0.903549,0.547447,0.884987,0.974979,SEKER
0.038259,0.052633,0.716671,0.932141,0.914511,0.773514,0.582016,0.7362,0.987196,SEKER
0.04094,0.048548,0.731365,0.761614,0.826871,0.829912,0.552408,0.799846,0.893675,SEKER
0.041504,0.032862,0.700538,0.949832,0.988408,0.951583,0.510741,0.94177,0.989116,SEKER
0.042097,0.052155,0.708871,0.931491,0.906532,0.816636,0.552843,0.784742,0.990455,SEKER
0.042943,0.049435,0.666131,0.859526,0.725375,0.844461,0.540441,0.816485,0.986862,SEKER
0.043122,0.05294,0.692766,0.929597,0.952948,0.821696,0.547511,0.79049,0.973331,SEKER
0.043831,0.053908,0.695596,0.917253,0.927264,0.82221,0.544873,0.791075,0.985022,SEKER
0.044467,0.06056,0.734586,0.948725,0.959273,0.783179,0.556102,0.747011,0.9871,SEKER
0.044821,0.053955,0.693163,0.916714,0.911335,0.831958,0.538177,0.802181,0.993311,SEKER
0.045564,0.048419,0.743254,0.915899,0.935113,0.878727,0.520254,0.856029,0.979002,SEKER
0.045633,0.055915,0.661771,0.937243,0.923955,0.82655,0.537239,0.796014,0.958333,SEKER
0.04585,0.059222,0.783082,0.929958,0.915049,0.80604,0.543447,0.772741,0.964247,SEKER
0.04585,0.051266,0.726965,0.937459,0.924038,0.86132,0.524969,0.835878,0.992629,SEKER
0.045936,0.052903,0.671628,0.926718,0.950534,0.850624,0.528199,0.823561,0.987648,SEKER
0.046038,0.057702,0.720144,0.914783,0.906986,0.818308,0.538645,0.78664,0.980031,SEKER
0.046043,0.05667,0.668005,0.92143,0.934666,0.825453,0.536223,0.794765,0.989807,SEKER
0.046337,0.051956,0.691609,0.935862,0.945595,0.861374,0.523333,0.835941,0.992927,SEKER
0.046606,0.059772,0.704332,0.959802,0.971711,0.809819,0.539602,0.777016,0.991737,SEKER
0.046773,0.06531,0.687989,0.974082,0.965622,0.774281,0.551256,0.737056,0.971129,SEKER
0.047439,0.054361,0.687193,0.961722,0.960299,0.855536,0.521607,0.829211,0.976144,SEKER
0.047623,0.060703,0.648643,0.813629,0.765367,0.813547,0.534939,0.781238,0.957835,SEKER
0.047896,0.083057,0.664271,0.90177,0.862607,0.672315,0.584255,0.625391,0.987673,SEKER
0.048058,0.095724,0.597082,0.932229,0.860784,0.598925,0.612058,0.547761,0.908113,SEKER
0.048088,0.047626,0.700816,0.928163,0.922582,0.910288,0.501984,0.892894,0.985072,SEKER
0.048178,0.057825,0.713445,0.909458,0.868726,0.838775,0.524692,0.809972,0.990479,SEKER
0.04837,0.06515,0.708554,0.957946,0.955688,0.790928,0.540132,0.755707,0.985496,SEKER
0.048455,0.067281,0.715259,0.903678,0.903045,0.777629,0.544417,0.740798,0.980541,SEKER
0.048639,0.072729,0.703045,0.97088,0.957919,0.743925,0.555586,0.70335,0.995826,SEKER
0.048681,0.054271,0.698146,0.927555,0.91357,0.868616,0.513322,0.844309,0.963764,SEKER
0.04869,0.070726,0.706167,0.885305,0.841048,0.757346,0.550686,0.718204,0.995158,SEKER
0.04875,0.0744,0.739613,0.905659,0.875969,0.734289,0.558634,0.692732,0.982904,SEKER
0.049083,0.058926,0.7152,0.959756,0.972581,0.840123,0.521298,0.811515,0.982981,SEKER
0.049326,0.054184,0.697877,0.957913,0.980607,0.875666,0.508991,0.852477,0.99079,SEKER
0.049412,0.052743,0.704123,0.961243,0.979605,0.886756,0.505187,0.865367,0.99018,SEKER
0.04942,0.051454,0.754074,0.908075,0.895758,0.896068,0.502217,0.876232,0.962533,SEKER
0.04951,0.05282,0.664457,0.923146,0.901916,0.887191,0.504738,0.865874,0.967802,SEKER
0.049557,0.085326,0.720967,0.938191,0.89934,0.673931,0.577888,0.627126,0.962461,SEKER
0.049608,0.073625,0.692229,0.959771,0.953685,0.74739,0.551108,0.707177,0.981401,SEKER
0.049634,0.058614,0.716529,0.92692,0.909531,0.847707,0.517038,0.82021,0.983616,SEKER
0.049689,0.058202,0.722112,0.970418,0.972944,0.851111,0.515751,0.824121,0.977958,SEKER
0.049728,0.095155,0.725566,0.901179,0.817997,0.617267,0.598896,0.566948,0.94395,SEKER
0.049911,0.073607,0.682934,0.884122,0.851587,0.750379,0.549049,0.710483,0.980103,SEKER
0.049933,0.070339,0.660564,0.956378,0.937546,0.771758,0.541542,0.734239,0.985376,SEKER
0.050159,0.06188,0.660314,0.926254,0.903827,0.830409,0.521023,0.800413,0.97474,SEKER
0.050355,0.06822,0.667758,0.919214,0.887546,0.789725,0.534005,0.754356,0.993634,SEKER
0.050377,0.070516,0.640494,0.928896,0.9143,0.774834,0.539024,0.737675,0.97893,SEKER
0.050441,0.067775,0.707314,0.877237,0.848121,0.793494,0.532449,0.758593,0.996269,SEKER
0.050518,0.06732,0.671468,0.963327,0.972768,0.797253,0.530929,0.762824,0.983943,SEKER
0.050547,0.067001,0.709248,0.926656,0.909638,0.799659,0.53002,0.765537,0.977709,SEKER
0.050564,0.070413,0.726965,0.948017,0.923717,0.777301,0.537563,0.740431,0.998807,SEKER
0.050637,0.062278,0.755497,0.930769,0.959368,0.832349,0.518852,0.802627,0.986491,SEKER
0.050825,0.060819,0.73832,0.951871,0.943936,0.844169,0.514386,0.81615,0.978648,SEKER
0.050889,0.068095,0.730752,0.935036,0.921304,0.79567,0.530261,0.761042,0.987115,SEKER
0.050962,0.067857,0.734943,0.922675,0.901756,0.797938,0.529261,0.763597,0.985525,SEKER
0.051017,0.068539,0.655509,0.893563,0.802468,0.793952,0.530427,0.759108,0.979417,SEKER
0.051051,0.063986,0.736579,0.976239,0.986675,0.824756,0.52003,0.793972,0.986573,SEKER
0.051295,0.065259,0.688386,0.932226,0.925961,0.81851,0.52132,0.786869,0.98824,SEKER
0.051431,0.074922,0.6746,0.948376,0.927314,0.756272,0.541989,0.717012,0.990189,SEKER
0.051641,0.068156,0.738769,0.93776,0.958731,0.802444,0.525567,0.768679,0.985682,SEKER
0.051658,0.067827,0.654917,0.952176,0.943319,0.804795,0.524726,0.771334,0.99141,SEKER
0.051658,0.067032,0.767877,0.939774,0.922971,0.810099,0.522956,0.777333,0.987828,SEKER
0.051687,0.074698,0.687543,0.879739,0.873428,0.76012,0.539822,0.721283,0.981718,SEKER
0.051914,0.078227,0.728922,0.940412,0.912376,0.739717,0.546194,0.698708,0.990108,SEKER
0.051927,0.073521,0.697205,0.961602,0.959311,0.769965,0.535657,0.73224,0.996861,SEKER
0.052072,0.062215,0.814617,0.909545,0.873667,0.84669,0.509637,0.819043,0.940664,SEKER
0.052102,0.093055,0.720527,0.957741,0.918166,0.650863,0.577861,0.602462,0.938507,SEKER
0.052426,0.074583,0.683126,0.951627,0.945691,0.767785,0.534796,0.72981,0.99242,SEKER
0.052456,0.072533,0.721035,0.943695,0.937854,0.781364,0.530068,0.744978,0.989843,SEKER
0.05249,0.057298,0.785517,0.947304,0.90602,0.884936,0.496148,0.863248,0.991929,SEKER
0.052559,0.055226,0.687849,0.935448,0.926294,0.90028,0.491147,0.881159,0.974856,SEKER
0.052751,0.070722,0.755401,0.932066,0.906272,0.796012,0.524191,0.761427,0.980143,SEKER
0.052755,0.065598,0.699036,0.955481,0.969499,0.830234,0.512851,0.800214,0.99023,SEKER
0.05284,0.074936,0.709849,0.951976,0.963375,0.769381,0.532923,0.731589,0.985288,SEKER
0.052845,0.071218,0.789712,0.94444,0.941013,0.793637,0.52469,0.758754,0.975471,SEKER
0.052857,0.065383,0.613945,0.955167,0.94762,0.832671,0.511736,0.802994,0.984101,SEKER
0.052986,0.068434,0.754215,0.940605,0.923868,0.813399,0.517662,0.781071,0.966738,SEKER
0.053015,0.062682,0.796449,0.915346,0.861779,0.852594,0.5048,0.825826,0.971569,SEKER
0.053071,0.084863,0.6152,0.912648,0.890788,0.708965,0.55332,0.665017,0.9558,SEKER
0.053161,0.066198,0.726737,0.939579,0.941307,0.830059,0.511643,0.800014,0.995402,SEKER
0.053225,0.078281,0.740978,0.934898,0.91773,0.751537,0.537833,0.711765,0.988171,SEKER
0.053374,0.06392,0.716225,0.889436,0.853211,0.847567,0.505308,0.820048,0.990019,SEKER
0.053395,0.074789,0.686337,0.940191,0.937886,0.775519,0.529064,0.738439,0.979355,SEKER
0.053434,0.06809,0.712153,0.885205,0.872754,0.819947,0.514102,0.788502,0.983799,SEKER
0.053489,0.046991,0.675517,0.915863,0.873296,0.969532,0.467415,0.96324,0.986116,SEKER
0.053506,0.077528,0.693152,0.843968,0.767375,0.758946,0.534376,0.71998,0.96229,SEKER
0.053664,0.074111,0.679955,0.883161,0.828996,0.782425,0.525875,0.746166,0.974633,SEKER
0.053741,0.071906,0.648815,0.891465,0.868106,0.797547,0.520558,0.763156,0.980948,SEKER
0.053758,0.074506,0.760014,0.92597,0.890117,0.780734,0.52615,0.744272,0.998165,SEKER
0.053771,0.072364,0.754214,0.960646,0.966387,0.794823,0.521374,0.760089,0.985023,SEKER
0.053797,0.073568,0.67233,0.942921,0.948881,0.787195,0.523852,0.751514,0.985093,SEKER
0.053933,0.063664,0.716071,0.923009,0.90814,0.854672,0.501311,0.828217,0.977513,SEKER
0.053963,0.07356,0.78474,0.966318,0.952286,0.788801,0.522789,0.753318,0.969723,SEKER
0.05398,0.069225,0.718437,0.921097,0.881228,0.817538,0.513195,0.785766,0.985514,SEKER
0.054049,0.093576,0.747577,0.969143,0.930424,0.665175,0.566043,0.617738,0.99017,SEKER
0.054049,0.068051,0.698349,0.971512,0.973021,0.826036,0.510202,0.795429,0.993356,SEKER
0.054096,0.060755,0.704759,0.921218,0.905512,0.876323,0.493957,0.853238,0.969666,SEKER
0.0541,0.080693,0.688501,0.966418,0.964222,0.744339,0.537533,0.703806,0.98118,SEKER
0.054326,0.070103,0.690507,0.977618,1,0.814959,0.512972,0.782839,0.994863,SEKER
0.054395,0.069954,0.748832,0.968995,0.968318,0.816586,0.512226,0.784686,0.986653,SEKER
0.054433,0.091335,0.662396,0.922742,0.818502,0.681955,0.558635,0.635758,0.96766,SEKER
0.054446,0.069612,0.75567,0.968245,0.965829,0.819351,0.511162,0.787825,0.971579,SEKER
0.054544,0.08772,0.702471,0.941629,0.907266,0.704807,0.550034,0.660493,0.988729,SEKER
0.054723,0.049089,0.685056,0.922651,0.931816,0.966231,0.46477,0.959282,0.982575,SEKER
0.054775,0.085309,0.747386,0.966517,0.936673,0.721688,0.543305,0.678907,0.98974,SEKER
0.054787,0.060964,0.651793,0.946541,0.943276,0.881522,0.490242,0.859276,0.976548,SEKER
0.054894,0.092186,0.657302,0.843064,0.704329,0.68097,0.557498,0.634697,0.978335,SEKER
0.055065,0.082154,0.731157,0.91989,0.880895,0.743968,0.534605,0.703398,0.982459,SEKER
0.055078,0.074589,0.774331,0.908247,0.892118,0.792467,0.518093,0.757438,0.974209,SEKER
0.055103,0.072442,0.783757,0.922652,0.860261,0.806763,0.513274,0.773558,0.988409,SEKER
0.055125,0.073405,0.755501,0.971863,0.9785,0.800636,0.515233,0.766638,0.976303,SEKER
0.055138,0.06651,0.697781,0.874255,0.834663,0.846734,0.500184,0.819093,0.978389,SEKER
0.055159,0.08764,0.712277,0.951937,0.947477,0.71083,0.545919,0.667049,0.987914,SEKER
0.055185,0.075131,0.66919,0.93363,0.933852,0.789932,0.518609,0.754588,0.980042,SEKER
0.055347,0.070722,0.728171,0.933784,0.948083,0.820419,0.508049,0.789039,0.983856,SEKER
0.055419,0.068362,0.663203,0.93191,0.918659,0.836879,0.502494,0.807803,0.989565,SEKER
0.055513,0.064732,0.669295,0.964318,0.977687,0.862419,0.494064,0.837147,0.985208,SEKER
0.055522,0.073059,0.700167,0.958863,0.952777,0.8066,0.512043,0.773374,0.99061,SEKER
0.055539,0.080363,0.640688,0.92853,0.915069,0.759598,0.527749,0.720703,0.990807,SEKER
0.055547,0.082565,0.760515,0.958882,0.955651,0.74578,0.532463,0.705398,0.985037,SEKER
0.055556,0.065386,0.750753,0.930488,0.908315,0.858347,0.495225,0.832449,0.993366,SEKER
0.055565,0.074562,0.712469,0.962406,0.963276,0.797153,0.515034,0.762712,0.967023,SEKER
0.05562,0.073178,0.683543,0.965567,0.971565,0.806733,0.511699,0.773525,0.970363,SEKER
