@relation 'Dry_Beans_Dataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R2-3,5-9,11,14,16-17'

@attribute Perimeter numeric
@attribute MajorAxisLength numeric
@attribute AspectRation numeric
@attribute Eccentricity numeric
@attribute ConvexArea numeric
@attribute EquivDiameter numeric
@attribute Extent numeric
@attribute roundness numeric
@attribute ShapeFactor2 numeric
@attribute ShapeFactor4 numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
0.058574,0.044262,0.122612,0.477797,0.033107,0.070804,0.671024,0.934823,0.833049,0.98062,SEKER
0.077557,0.030479,0.051577,0.278472,0.034991,0.073577,0.735504,0.793138,0.967315,0.974979,SEKER
0.068035,0.052633,0.131521,0.496448,0.037126,0.078816,0.716671,0.914511,0.800942,0.987196,SEKER
0.082942,0.048548,0.091623,0.403864,0.041389,0.083854,0.731365,0.826871,0.854744,0.893675,SEKER
0.065313,0.032862,0.025565,0.16568,0.040123,0.084906,0.700538,0.988408,1,0.989116,SEKER
0.075441,0.052155,0.104024,0.435324,0.040878,0.086012,0.708871,0.906532,0.834819,0.990455,SEKER
0.099475,0.049435,0.086735,0.390668,0.042403,0.087582,0.666131,0.725375,0.863598,0.986862,SEKER
0.07188,0.05294,0.100127,0.425733,0.041896,0.087914,0.692766,0.952948,0.836595,0.973331,SEKER
0.075957,0.053908,0.100314,0.426197,0.042708,0.089226,0.695596,0.927264,0.834423,0.985022,SEKER
0.073391,0.06056,0.125204,0.483328,0.043021,0.090401,0.734586,0.959273,0.788141,0.9871,SEKER
0.079437,0.053955,0.094644,0.411787,0.043681,0.091054,0.693163,0.911335,0.841734,0.993311,SEKER
0.077926,0.048419,0.066027,0.32878,0.044415,0.09242,0.743254,0.935113,0.893257,0.979002,SEKER
0.07932,0.055915,0.096474,0.4165,0.04427,0.092545,0.661771,0.923955,0.832436,0.958333,SEKER
0.080712,0.059222,0.109545,0.448485,0.044555,0.092945,0.783082,0.915049,0.808462,0.964247,SEKER
0.07967,0.051266,0.076852,0.362431,0.044481,0.092945,0.726965,0.924038,0.871658,0.992629,SEKER
0.076783,0.052903,0.083045,0.380378,0.04467,0.093101,0.671628,0.950534,0.858894,0.987648,SEKER
0.081963,0.057702,0.102527,0.431671,0.044889,0.093289,0.720144,0.906986,0.821554,0.980031,SEKER
0.078764,0.05667,0.098508,0.421671,0.044827,0.093297,0.668005,0.934666,0.829628,0.989807,SEKER
0.078,0.051956,0.076833,0.362372,0.044971,0.093837,0.691609,0.945595,0.869799,0.992927,SEKER
0.075498,0.059772,0.10836,0.445701,0.044996,0.094329,0.704332,0.971711,0.809887,0.991737,SEKER
0.07645,0.06531,0.130298,0.493945,0.045017,0.094633,0.687989,0.965622,0.770031,0.971129,SEKER
0.078131,0.054361,0.079611,0.370534,0.045788,0.095849,0.687193,0.960299,0.85873,0.976144,SEKER
0.102262,0.060703,0.104541,0.436577,0.047461,0.096184,0.648643,0.765367,0.810305,0.957835,SEKER
0.090355,0.083057,0.202069,0.615534,0.046835,0.096682,0.664271,0.862607,0.659702,0.987673,SEKER
0.090848,0.095724,0.254688,0.681222,0.046686,0.096977,0.597082,0.860784,0.587822,0.908113,SEKER
0.083515,0.047626,0.048175,0.265557,0.046756,0.097031,0.700816,0.922582,0.920604,0.985072,SEKER
0.090077,0.057825,0.090347,0.400467,0.047032,0.097194,0.713445,0.868726,0.8367,0.990479,SEKER
0.080164,0.06515,0.120121,0.472397,0.046732,0.097543,0.708554,0.955688,0.782548,0.985496,SEKER
0.086413,0.067281,0.128527,0.490293,0.047362,0.097699,0.715259,0.903045,0.767738,0.980541,SEKER
0.080346,0.072729,0.151685,0.535204,0.046863,0.098032,0.703045,0.957919,0.73101,0.995826,SEKER
0.085542,0.054271,0.071322,0.345625,0.047342,0.09811,0.698146,0.91357,0.869072,0.963764,SEKER
0.09434,0.070726,0.142601,0.518298,0.047779,0.098125,0.706167,0.841048,0.745093,0.995158,SEKER
0.090144,0.0744,0.157676,0.545895,0.04763,0.098233,0.739613,0.875969,0.720494,0.982904,SEKER
0.079405,0.058926,0.089206,0.397398,0.047408,0.098837,0.7152,0.972581,0.834841,0.982981,SEKER
0.078896,0.054184,0.068305,0.336121,0.047663,0.099278,0.697877,0.980607,0.874773,0.99079,SEKER
0.079145,0.052743,0.061824,0.314839,0.047713,0.099433,0.704123,0.979605,0.887401,0.99018,SEKER
0.088865,0.051454,0.055332,0.292216,0.048261,0.099448,0.754074,0.895758,0.898331,0.962533,SEKER
0.088277,0.05282,0.06065,0.310851,0.048195,0.099611,0.664457,0.901916,0.887528,0.967802,SEKER
0.088661,0.085326,0.199654,0.612126,0.048088,0.099696,0.720967,0.89934,0.656186,0.962461,SEKER
0.082395,0.073625,0.148674,0.529697,0.047919,0.099788,0.692229,0.953685,0.731423,0.981401,SEKER
0.087575,0.058614,0.084633,0.384842,0.048277,0.099835,0.716529,0.909531,0.841407,0.983616,SEKER
0.080339,0.058202,0.082342,0.378384,0.04789,0.099935,0.722112,0.972944,0.845081,0.977958,SEKER
0.098982,0.095155,0.241915,0.666639,0.048632,0.100004,0.725566,0.817997,0.600452,0.94395,SEKER
0.095059,0.073607,0.146596,0.525841,0.048987,0.100336,0.682934,0.851587,0.733569,0.980103,SEKER
0.084778,0.070339,0.132594,0.498627,0.048269,0.100375,0.660564,0.937546,0.756285,0.985376,SEKER
0.08911,0.06188,0.0948,0.412191,0.048797,0.100784,0.660314,0.903827,0.819908,0.97474,SEKER
0.091385,0.06822,0.121257,0.474869,0.049061,0.101138,0.667758,0.887546,0.774253,0.993634,SEKER
0.088221,0.070516,0.130284,0.493918,0.048982,0.101176,0.640494,0.9143,0.758074,0.97893,SEKER
0.096367,0.067775,0.118947,0.469822,0.049576,0.101292,0.707314,0.848121,0.778061,0.996269,SEKER
0.081687,0.06732,0.115996,0.463262,0.048768,0.101431,0.671468,0.972768,0.781896,0.983943,SEKER
0.089052,0.067001,0.114186,0.459178,0.049172,0.101484,0.709248,0.909638,0.784425,0.977709,SEKER
0.087416,0.070413,0.129558,0.492425,0.04897,0.101515,0.726965,0.923717,0.760086,0.998807,SEKER
0.083402,0.062278,0.094112,0.410403,0.049217,0.101646,0.755497,0.959368,0.820343,0.986491,SEKER
0.085479,0.060819,0.086563,0.390195,0.049184,0.101984,0.73832,0.943936,0.832973,0.978648,SEKER
0.088226,0.068095,0.117148,0.465838,0.049419,0.1021,0.730752,0.921304,0.778871,0.987115,SEKER
0.090666,0.067857,0.115627,0.462435,0.049617,0.10223,0.734943,0.901756,0.781094,0.985525,SEKER
0.103139,0.068539,0.117909,0.467529,0.049972,0.10233,0.655509,0.802468,0.776555,0.979417,SEKER
0.080974,0.063986,0.0988,0.422408,0.049156,0.102392,0.736579,0.986675,0.810358,0.986573,SEKER
0.088334,0.065259,0.102757,0.432234,0.049844,0.10283,0.688386,0.925961,0.80255,0.98824,SEKER
0.088396,0.074922,0.143094,0.519239,0.049811,0.103075,0.6746,0.927314,0.734746,0.990189,SEKER
0.085084,0.068156,0.112764,0.455935,0.050124,0.103451,0.738769,0.958731,0.783654,0.985682,SEKER
0.08689,0.067827,0.111522,0.45308,0.049992,0.103482,0.654917,0.943319,0.786167,0.99141,SEKER
0.089273,0.067032,0.108013,0.444882,0.05012,0.103482,0.767877,0.922971,0.791986,0.987828,SEKER
0.095286,0.074698,0.140138,0.513563,0.050772,0.103535,0.687543,0.873428,0.737966,0.981718,SEKER
0.090943,0.078227,0.15429,0.539896,0.050363,0.103941,0.728922,0.912376,0.71581,0.990108,SEKER
0.085475,0.073521,0.134291,0.502045,0.050157,0.103964,0.697205,0.959311,0.747625,0.996861,SEKER
0.095885,0.062215,0.083425,0.381451,0.050837,0.104225,0.814617,0.873667,0.831261,0.940664,SEKER
0.090559,0.093055,0.215704,0.634066,0.050368,0.104278,0.720527,0.918166,0.625909,0.938507,SEKER
0.087847,0.074583,0.135531,0.504521,0.050747,0.10486,0.683126,0.945691,0.743644,0.99242,SEKER
0.088809,0.072533,0.126506,0.486074,0.050858,0.104913,0.721035,0.937854,0.758036,0.989843,SEKER
0.092636,0.057298,0.06295,0.318627,0.050854,0.104974,0.785517,0.90602,0.873441,0.991929,SEKER
0.090333,0.055226,0.053431,0.285322,0.051044,0.105096,0.687849,0.926294,0.891059,0.974856,SEKER
0.093027,0.070722,0.116621,0.464663,0.051266,0.10544,0.755401,0.906272,0.77283,0.980143,SEKER
0.085628,0.065598,0.095573,0.414188,0.051027,0.105448,0.699036,0.969499,0.810377,0.99023,SEKER
0.086465,0.074936,0.134156,0.501774,0.051147,0.105601,0.709849,0.963375,0.743968,0.985288,SEKER
0.089063,0.071218,0.117937,0.467591,0.051229,0.105608,0.789712,0.941013,0.769939,0.975471,SEKER
0.088313,0.065383,0.093811,0.40962,0.05113,0.105631,0.613945,0.94762,0.812724,0.984101,SEKER
0.091306,0.068434,0.105021,0.437736,0.051406,0.10586,0.754215,0.923868,0.790977,0.966738,SEKER
0.098898,0.062682,0.081181,0.375068,0.051699,0.105913,0.796449,0.861779,0.834499,0.971569,SEKER
0.095417,0.084863,0.174056,0.573434,0.051781,0.106013,0.6152,0.890788,0.680597,0.9558,SEKER
0.089534,0.066198,0.095903,0.415037,0.051588,0.106173,0.726737,0.941307,0.808748,0.995402,SEKER
0.09242,0.078281,0.146184,0.52507,0.051699,0.106287,0.740978,0.91773,0.723913,0.988171,SEKER
0.100556,0.06392,0.08499,0.385837,0.052322,0.106554,0.716225,0.853211,0.827541,0.990019,SEKER
0.09031,0.074789,0.129855,0.493036,0.05181,0.106592,0.686337,0.937886,0.748655,0.979355,SEKER
0.098218,0.06809,0.101668,0.429557,0.052425,0.10666,0.712153,0.872754,0.796614,0.983799,SEKER
0.098242,0.046991,0.015861,0.112307,0.052157,0.10676,0.675517,0.873296,0.970417,0.986116,SEKER
0.111954,0.077528,0.14004,0.513373,0.052932,0.10679,0.693152,0.767375,0.730767,0.96229,SEKER
0.104106,0.074111,0.125139,0.48319,0.052672,0.107072,0.679955,0.828996,0.755129,0.974633,SEKER
0.099295,0.071906,0.115676,0.462544,0.05266,0.107209,0.648815,0.868106,0.771126,0.980948,SEKER
0.096611,0.074506,0.127287,0.487711,0.052313,0.107239,0.760014,0.890117,0.753011,0.998165,SEKER
0.087598,0.072364,0.117598,0.466839,0.051963,0.107262,0.754214,0.966387,0.768085,0.985023,SEKER
0.089664,0.073568,0.122512,0.477582,0.052173,0.107308,0.67233,0.948881,0.759794,0.985093,SEKER
0.094709,0.063664,0.080186,0.372201,0.052515,0.107551,0.716071,0.90814,0.833528,0.977513,SEKER
0.089533,0.07356,0.120793,0.473862,0.052091,0.107604,0.78474,0.952286,0.760961,0.969723,SEKER
0.09806,0.069225,0.103246,0.43343,0.052581,0.107635,0.718437,0.881228,0.792074,0.985514,SEKER
0.092234,0.093576,0.207491,0.623044,0.052144,0.107756,0.747577,0.930424,0.634188,0.99017,SEKER
0.087276,0.068051,0.0983,0.421146,0.05212,0.107756,0.698349,0.973021,0.801183,0.993356,SEKER
0.095287,0.060755,0.067044,0.332074,0.052693,0.10784,0.704759,0.905512,0.857536,0.969666,SEKER
0.088368,0.080693,0.150732,0.533472,0.052223,0.107847,0.688501,0.964222,0.71362,0.98118,SEKER
0.084654,0.070103,0.105266,0.438327,0.052326,0.10825,0.690507,1,0.788061,0.994863,SEKER
0.088362,0.069954,0.10389,0.434999,0.052482,0.108371,0.748832,0.968318,0.789607,0.986653,SEKER
0.106724,0.091335,0.194021,0.604023,0.053006,0.10844,0.662396,0.818502,0.649518,0.96766,SEKER
0.08873,0.069612,0.101511,0.429168,0.05254,0.108463,0.75567,0.965829,0.792458,0.971579,SEKER
0.095795,0.08772,0.178558,0.580602,0.052915,0.108637,0.702471,0.907266,0.671923,0.988729,SEKER
0.093146,0.049089,0.017472,0.121769,0.05329,0.108956,0.685056,0.931816,0.961368,0.982575,SEKER
0.092653,0.085309,0.166716,0.561387,0.052878,0.109047,0.747386,0.936673,0.68827,0.98974,SEKER
0.091896,0.060964,0.064297,0.323107,0.053101,0.109069,0.651793,0.943276,0.860949,0.976548,SEKER
0.123068,0.092186,0.195255,0.605816,0.054304,0.109259,0.657302,0.704329,0.647198,0.978335,SEKER
0.099855,0.082154,0.151042,0.534037,0.053653,0.109562,0.731157,0.880895,0.710195,0.982459,SEKER
0.098495,0.074589,0.118632,0.469128,0.053789,0.109585,0.774331,0.892118,0.761185,0.974209,SEKER
0.102488,0.072442,0.110145,0.449885,0.053661,0.10963,0.783757,0.860261,0.776503,0.988409,SEKER
0.088345,0.073405,0.113502,0.457623,0.053163,0.109668,0.755501,0.9785,0.769809,0.976303,SEKER
0.105794,0.06651,0.084999,0.385864,0.05421,0.109691,0.697781,0.834663,0.820338,0.978389,SEKER
0.091992,0.08764,0.174251,0.573748,0.053406,0.109729,0.712277,0.947477,0.676123,0.987914,SEKER
0.093639,0.075131,0.120522,0.47327,0.053624,0.109774,0.66919,0.933852,0.758117,0.980042,SEKER
0.092219,0.070722,0.101377,0.428837,0.053781,0.110062,0.728171,0.948083,0.790542,0.983856,SEKER
0.095825,0.068362,0.091466,0.403449,0.053872,0.11019,0.663203,0.918659,0.8084,0.989565,SEKER
0.089049,0.064732,0.075887,0.359552,0.05362,0.110357,0.669295,0.977687,0.836602,0.985208,SEKER
0.091946,0.073059,0.110344,0.450349,0.053686,0.110372,0.700167,0.952777,0.774921,0.99061,SEKER
0.096447,0.080363,0.140898,0.515032,0.054024,0.110402,0.640688,0.915069,0.724925,0.990807,SEKER
0.091651,0.082565,0.149931,0.532007,0.053711,0.110417,0.760515,0.955651,0.710555,0.985037,SEKER
0.09729,0.065386,0.078656,0.367749,0.05402,0.110432,0.750753,0.908315,0.831865,0.993366,SEKER
