@relation 'Dry_Beans_Dataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R2,4-5,9,11-13,16-17'

@attribute Perimeter numeric
@attribute MinorAxisLength numeric
@attribute AspectRation numeric
@attribute Extent numeric
@attribute roundness numeric
@attribute Compactness numeric
@attribute ShapeFactor1 numeric
@attribute ShapeFactor4 numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
0.058574,0.152142,0.122612,0.671024,0.934823,0.786733,0.593432,0.98062,SEKER
0.077557,0.178337,0.051577,0.735504,0.793138,0.903549,0.547447,0.974979,SEKER
0.068035,0.15819,0.131521,0.716671,0.914511,0.773514,0.582016,0.987196,SEKER
0.082942,0.177691,0.091623,0.731365,0.826871,0.829912,0.552408,0.893675,SEKER
0.065313,0.200679,0.025565,0.700538,0.988408,0.951583,0.510741,0.989116,SEKER
0.075441,0.174711,0.104024,0.708871,0.906532,0.816636,0.552843,0.990455,SEKER
0.099475,0.1822,0.086735,0.666131,0.725375,0.844461,0.540441,0.986862,SEKER
0.07188,0.178345,0.100127,0.692766,0.952948,0.821696,0.547511,0.973331,SEKER
0.075957,0.179588,0.100314,0.695596,0.927264,0.82221,0.544873,0.985022,SEKER
0.073391,0.172897,0.125204,0.734586,0.959273,0.783179,0.556102,0.9871,SEKER
0.079437,0.183387,0.094644,0.693163,0.911335,0.831958,0.538177,0.993311,SEKER
0.077926,0.194898,0.066027,0.743254,0.935113,0.878727,0.520254,0.979002,SEKER
0.07932,0.184955,0.096474,0.661771,0.923955,0.82655,0.537239,0.958333,SEKER
0.080712,0.181031,0.109545,0.783082,0.915049,0.80604,0.543447,0.964247,SEKER
0.07967,0.19154,0.076852,0.726965,0.924038,0.86132,0.524969,0.992629,SEKER
0.076783,0.189672,0.083045,0.671628,0.950534,0.850624,0.528199,0.987648,SEKER
0.081963,0.183481,0.102527,0.720144,0.906986,0.818308,0.538645,0.980031,SEKER
0.078764,0.184675,0.098508,0.668005,0.934666,0.825453,0.536223,0.989807,SEKER
0.078,0.192556,0.076833,0.691609,0.945595,0.861374,0.523333,0.992927,SEKER
0.075498,0.182568,0.10836,0.704332,0.971711,0.809819,0.539602,0.991737,SEKER
0.07645,0.176188,0.130298,0.687989,0.965622,0.774281,0.551256,0.971129,SEKER
0.078131,0.194127,0.079611,0.687193,0.960299,0.855536,0.521607,0.976144,SEKER
0.102262,0.186373,0.104541,0.648643,0.765367,0.813547,0.534939,0.957835,SEKER
0.090355,0.156944,0.202069,0.664271,0.862607,0.672315,0.584255,0.987673,SEKER
0.090848,0.144211,0.254688,0.597082,0.860784,0.598925,0.612058,0.908113,SEKER
0.083515,0.206511,0.048175,0.700816,0.922582,0.910288,0.501984,0.985072,SEKER
0.090077,0.191775,0.090347,0.713445,0.868726,0.838775,0.524692,0.990479,SEKER
0.080164,0.182425,0.120121,0.708554,0.955688,0.790928,0.540132,0.985496,SEKER
0.086413,0.179988,0.128527,0.715259,0.903045,0.777629,0.544417,0.980541,SEKER
0.080346,0.172955,0.151685,0.703045,0.957919,0.743925,0.555586,0.995826,SEKER
0.085542,0.199761,0.071322,0.698146,0.91357,0.868616,0.513322,0.963764,SEKER
0.09434,0.17585,0.142601,0.706167,0.841048,0.757346,0.550686,0.995158,SEKER
0.090144,0.17154,0.157676,0.739613,0.875969,0.734289,0.558634,0.982904,SEKER
0.079405,0.194123,0.089206,0.7152,0.972581,0.840123,0.521298,0.982981,SEKER
0.078896,0.201762,0.068305,0.697877,0.980607,0.875666,0.508991,0.99079,SEKER
0.079145,0.204257,0.061824,0.704123,0.979605,0.886756,0.505187,0.99018,SEKER
0.088865,0.207026,0.055332,0.754074,0.895758,0.896068,0.502217,0.962533,SEKER
0.088277,0.205213,0.06065,0.664457,0.901916,0.887191,0.504738,0.967802,SEKER
0.088661,0.161153,0.199654,0.720967,0.89934,0.673931,0.577888,0.962461,SEKER
0.082395,0.175987,0.148674,0.692229,0.953685,0.74739,0.551108,0.981401,SEKER
0.087575,0.196804,0.084633,0.716529,0.909531,0.847707,0.517038,0.983616,SEKER
0.080339,0.19779,0.082342,0.722112,0.972944,0.851111,0.515751,0.977958,SEKER
0.098982,0.150194,0.241915,0.725566,0.817997,0.617267,0.598896,0.94395,SEKER
0.095059,0.177241,0.146596,0.682934,0.851587,0.750379,0.549049,0.980103,SEKER
0.084778,0.181578,0.132594,0.660564,0.937546,0.771758,0.541542,0.985376,SEKER
0.08911,0.194536,0.0948,0.660314,0.903827,0.830409,0.521023,0.97474,SEKER
0.091385,0.185921,0.121257,0.667758,0.887546,0.789725,0.534005,0.993634,SEKER
0.088221,0.183283,0.130284,0.640494,0.9143,0.774834,0.539024,0.97893,SEKER
0.096367,0.1868,0.118947,0.707314,0.848121,0.793494,0.532449,0.996269,SEKER
0.081687,0.188089,0.115996,0.671468,0.972768,0.797253,0.530929,0.983943,SEKER
0.089052,0.18883,0.114186,0.709248,0.909638,0.799659,0.53002,0.977709,SEKER
0.087416,0.183604,0.129558,0.726965,0.923717,0.777301,0.537563,0.998807,SEKER
0.083402,0.195568,0.094112,0.755497,0.959368,0.832349,0.518852,0.986491,SEKER
0.085479,0.198642,0.086563,0.73832,0.943936,0.844169,0.514386,0.978648,SEKER
0.088226,0.188411,0.117148,0.730752,0.921304,0.79567,0.530261,0.987115,SEKER
0.090666,0.189074,0.115627,0.734943,0.901756,0.797938,0.529261,0.985525,SEKER
0.103139,0.188529,0.117909,0.655509,0.802468,0.793952,0.530427,0.979417,SEKER
0.080974,0.194819,0.0988,0.736579,0.986675,0.824756,0.52003,0.986573,SEKER
0.088334,0.193957,0.102757,0.688386,0.925961,0.81851,0.52132,0.98824,SEKER
0.088396,0.181173,0.143094,0.6746,0.927314,0.756272,0.541989,0.990189,SEKER
0.085084,0.191367,0.112764,0.738769,0.958731,0.802444,0.525567,0.985682,SEKER
0.08689,0.191727,0.111522,0.654917,0.943319,0.804795,0.524726,0.99141,SEKER
0.089273,0.192939,0.108013,0.767877,0.922971,0.810099,0.522956,0.987828,SEKER
0.095286,0.18272,0.140138,0.687543,0.873428,0.76012,0.539822,0.981718,SEKER
0.090943,0.178656,0.15429,0.728922,0.912376,0.739717,0.546194,0.990108,SEKER
0.085475,0.184819,0.134291,0.697205,0.959311,0.769965,0.535657,0.996861,SEKER
0.095885,0.202821,0.083425,0.814617,0.873667,0.84669,0.509637,0.940664,SEKER
0.090559,0.161824,0.215704,0.720527,0.918166,0.650863,0.577861,0.938507,SEKER
0.087847,0.185471,0.135531,0.683126,0.945691,0.767785,0.534796,0.99242,SEKER
0.088809,0.188451,0.126506,0.721035,0.937854,0.781364,0.530068,0.989843,SEKER
0.092636,0.210177,0.06295,0.785517,0.90602,0.884936,0.496148,0.991929,SEKER
0.090333,0.214049,0.053431,0.687849,0.926294,0.90028,0.491147,0.974856,SEKER
0.093027,0.192388,0.116621,0.755401,0.906272,0.796012,0.524191,0.980143,SEKER
0.085628,0.199288,0.095573,0.699036,0.969499,0.830234,0.512851,0.99023,SEKER
0.086465,0.186823,0.134156,0.709849,0.963375,0.769381,0.532923,0.985288,SEKER
0.089063,0.19221,0.117937,0.789712,0.941013,0.793637,0.52469,0.975471,SEKER
0.088313,0.200185,0.093811,0.613945,0.94762,0.832671,0.511736,0.984101,SEKER
0.091306,0.196899,0.105021,0.754215,0.923868,0.813399,0.517662,0.966738,SEKER
0.098898,0.205061,0.081181,0.796449,0.861779,0.852594,0.5048,0.971569,SEKER
0.095417,0.175403,0.174056,0.6152,0.890788,0.708965,0.55332,0.9558,SEKER
0.089534,0.199914,0.095903,0.726737,0.941307,0.830059,0.511643,0.995402,SEKER
0.09242,0.183742,0.146184,0.740978,0.91773,0.751537,0.537833,0.988171,SEKER
0.100556,0.204183,0.08499,0.716225,0.853211,0.847567,0.505308,0.990019,SEKER
0.09031,0.189374,0.129855,0.686337,0.937886,0.775519,0.529064,0.979355,SEKER
0.098218,0.198673,0.101668,0.712153,0.872754,0.819947,0.514102,0.983799,SEKER
0.098242,0.230205,0.015861,0.675517,0.873296,0.969532,0.467415,0.986116,SEKER
0.111954,0.18659,0.14004,0.693152,0.767375,0.758946,0.534376,0.96229,SEKER
